text,len_content,middle category,dept
"범어 우방, 2차 공사장 도로 시설물 점검 요청 청구 푸른 마을에 거주하는 시민입니다 어제 아이 통학을 위해 우방, 2차 공사장을 지나가다가 위험시설물이 있어서 민원 청구합니다 아래 첨부된 사진을 보시면 아시겠지만 도로 맨홀이 깨진 채로 방치되어 있습니다 안전 펜스도 아니고 플라스틱 막대로 대충 가려놓은 상황이고 낮에는 그렇다 쳐도 밤에는 잘 보이지 않아 위험합니다 점검 및 시정 부탁드립니다 모든 일이 그렇듯이 사고는 사전 예방이 제일 중요하다고 생각합니다 사고 전력이 많은 현대산업개발이 시공하는 공사라 주변에서도 우려가 많습니다 관심과 감시 부탁드립니다 ※ 첨부파일 : KakaoTalk_20230417_083014394_01.jpg KakaoTalk_20230417_083014394.jpg KakaoTalk_20230417_092235990_03.jpg",411,도시국,도시국 건설과
쓰레기 불법 투기자를 신고합니다 만촌동 주택가 맞은편 앞집에서 주기적으로 쓰레기 배출을 타인의 주택 앞에 침범하여 불법투기하고 있습니다 당연하다는 듯 자신의 집에서 나온 쓰레기들을 타인의 집 앞에 배출하는 경범죄 범법자 여부를 확인 후 징역 1년 이하 100만 원 이하의 벌금 과태료 부과를 건의합니다 해당 쓰레기의 내용물 중 대륜고등학교 신입생 안내문으로 07년생 자녀를 가지고 자기가 버리는데 뭐가 문제냐는 의사를 밝힌 바가 있는 인간입니다 ※ 첨부파일 : 2.jpg 1.jpg 3.jpg,249,복지국,복지국 자원순환과
,895,도시국,도시국 건설과
"파동 KCC건설 현장 앞 이중주차 파동 kcc건설 현장 앞 이중주차로 인한 불편사항 접수합니다 민원을 몇 차례 넣었지만 건설사 측에 전달 시정요청했다는 답변뿐이고 달라지는 게 전혀 없는 상황입니다 공사를 하루 이틀 하는 것도 아니고 앞으로 계속 이런 상황이 지속된다면 스트레스가 이만저만 아닐 것 같습니다 이중주차, 코너 주차로 인해 큰 차량의 통행 불편뿐만 아니라 양방향 통행에도 몹시 힘든 상황입니다 지역주민에게 피해를 주지 않는 공사가 이루어지기를 간곡히 요청드립니다 ※ 첨부파일 : 20230412_092804.jpg 20230413_084944.jpg",285,도시국,도시국 교통과
,678,도시국,도시국 교통과
,1285,도시국,도시국 건축과
( 체육 진흥과 ) 수 성 패밀리파크 풋살장 전등 교체 요청 수 성 패밀리파크 풋살장 전등 일부가 나오지 않아서 야간 운동 시 사고 위험이 있습니다 확인 후 조치를 부탁드립니다,64,문화교육국,문화교육국 체육진흥과
"입주자 대표회장이 선거관리위원회 업무를 방해하고 있습니다 2023년 4월 1일 선거 관리 위원 임기가 시작하여 관리주체에 총 7명의 선관위원 중 4명의 서명을 받아 2023년 4월 6일 선거관리위원회 회의 소집을 요청하였습니다 그러나 오늘까지 아무런 공고가 없었습니다 제가 관리주체에 문의했더니 입주자 대표회장이 선거 관리 위원이 위법하게 선출되어 선관위원을 인정할 수 없다며 회의 공고를 막았다고 합니다 공동주택관리법과 관리 규약에 입주자 대표회의와 관리주체, 선관위원회는 상호 간섭하지 못하게 되어 있으며 입주자 대표회장이 선거 관리 위원의 자격을 검증하는 것은 이 규정을 어기는 것으로 있을 수 없는 일입니다 그리고 관리주체가 입주자 대표회장을 핑계로 공고를 미루는 것은 직무유기입니다 이러한 위법 사항이 아무렇지 않게 횡행하는 아파트 입주자 대표회의 및 관리주체에 과태료 등 강력한 조치를 부탁드립니다",417,도시국,도시국 건축과
"하수구 악취 확인 및 처리 요청 건 수고하십니다 하수구 악취가 심합니다 작년, 재 작년 지속 악취가 났었고, 날씨가 더워지면 더욱 심해지며 벌레들도 많아짐 특히 여름에는 창문을 열기 어려울 정도라 생활불편 및 스트레스가 많습니다 원인 확인 후 조치 부탁드립니다 하수구 사진 유첨합니다 ( 총 4군데 ) ( 현장 방문 시 상기 주소지 맞은편 하수구도 같이 확인 부탁드립니다 ) ※ 첨부파일 : 하수구_수성구 동원으로 11길 69.jpg",220,도시국,도시국 건설과
,1097,복지국,복지국 녹색환경과
