content,dept
사설구급차의 공공도로 차지 얼마전부터 사설구급차 센터가 생기면서 공공주차장소를 차지하고 있습니다대를 운용하면서 차고지도 없는 곳에서 사업을 한다는게 말이 되나요그 피해는 주민들이 고스란히 받아들여야 하는건가요 ,도시창조국 교통과
동물대변청소도움요청처리되지 않아 다시 요청드립니다 몇일 전 요청드렸던 동물대변 중 한곳이 청소되지 않아 다시 요청드립니다,주민행복국 녹색환경과
동물대변청소도움요청합니다 동물대변청소도움요청합니다 ,주민행복국 녹색환경과
시간풍경 골목길 조성 그 골목길 주택 주민들은 대문을 다 새로 달라는 말 시간풍경 골목길 조성사업을 주관하는 도시재생과에서는 현장확인을 한번이라도 해보았는가하수도 맨홀 공사를 진행중일때도 설계를 할때도 감독을 할때도 한번이라도 나와봤으면 이렇게까지 황당하게 일을 처리할까 싶다빗물이 도로쪽으로 빠져야된다는 그 생각 하나로 현장감독 증언시간풍경 골목길 일대 남구 이천로 길서봉사 밑 동네 주택 주민들에게 설명과 협조 한 번없이하수도 구베를 공사전보다 최소한 계단 한칸 높이를 높혀서기존 대문이 아스팔트에 덮힐 예정이란다첨부한 사진을 보면 얼마나 얼척없이 공사를 진행하고 있는지 알수있다이미 콘크리트 타설까지 완료되었다아스콘을 깔면 더 높아진다공사 끝내놓고 우린 집으로 못 들어간다대문이 아스팔트에 깔려서 안 열리니까주민들이 그 골목길에는 연로하신 어른들이 많으시다 지나가면서하수도관을 왜이렇게 높게 묻어요라고 물어도현장에선 공무원에게 물어봐라 하셨단다그래서 대신 물어봅니다지금 뭐하고 계시는겁니까현장확인 안해봤습니까담장도 새로 해주고대문도 집집마다 다 새로 달아줍니까관에서 진행하는 사업이라서골목을 헤집어도아침 시부터 공사시작해서 부수고 땅을 파도흙물이 담벼락에 칠갑을 해도그저 입다물고하루라도 빨리 공사를 마무리하면 되겠거니참고 기다렸더니슬금슬금 이렇게 공사 진행하고 계셨던겁니까담당자는 확실하게 답변해주시길 바랍니다현장 사진 많이 확보해두었고주말이라 당직실에서는 담당자 연결해줄수없다고해서오늘 연락합니다 ,도시창조국 도시재생과
주차라인 불법 적치물 대명동에 대덕천주교회 네거리에서 대명동 행정복지센터쪽으로 가는 대명남로 라인에 주차 라인이 몇개 있습니다이곳은 주차란으로 인해 언제나 문제가 많은 곳이죠근데 첨부된 사진처럼 공용주차라인에 저렇게 불법 적치물로 인하여 주차를 못하게 해놓으면 문제 아닌가요본인들 가게 앞이라고 그렇게 해놓은건지 몰라도 이건 아니죠첨부된 사진쪽 말고도 대덕성당쪽에서 오다보면 오토바이를 세워 둔다거나 구조물을 두어 주차를 못하게 합니다 ,도시창조국 교통과
주차선없는 곳에 주차하여 차로 집으로 들어가고 나갈때 불편합니다 일차선 도로에 주차선이 그어져 있지 않는곳에 차들이 주차하곤 합니다그 곳에 주차시 빌라에서 나가는 차량이 한번에 나가지 못하고 차를 몇번 뒤로 돌려서 나가야합니다그럴경우 그 차선으로 지나는 차량통행에 방해가 되기도 하구요빌라입구쪽에 왼쪽에는 화단이 있어 주차를 못하는데 오른쪽에도 화단을 놓아주셔서 차들이 주차못하게 해주세요 ,도시창조국 교통과
남구국민체육센터 대구남구스포츠클럽 테니스장 이용 남구국민체육센터 대구남구스포츠클럽구민체육센터 테니스장 이용관련 내용입니다구민을 위해 만들어진 테니스장을 주말이나 평일에 자유롭게 쓰지 못하고있습니다체육센터로 연락을 하니 테니스장 코치에게 문의를 하라고 합니다 체육센터가 아닌 코치분은 기관에서 고용하신 직원입니까 주말 및 평일 이용은 가능한데 특히 주말은 클럽에서 년단위 계약을 통해 사용허가를 받아일반인은 사용할 수가 없습니다 이 계약은 공공기관 대 일반팀 계약입니까이러한 부분이 궁금하고 남구 구민을 위해 남구 구민세금으로 만들어진체육센터가 구민들이 사용할 수 없는부분이 아이러니하게 느꺄집니다모두가 누릴 수 있도록 해결방안 또는 개선방안을 번 질문과 함께 답변 부탁드립니다,자치행정국 평생교육과
남구에 수영장은 언제 어디서 건립됩니까 년도 완공한다고 신문에는 있던데 혹시 미군부지 반환하는 장소에 수영자유생깁니까다른 구는 공영 수영장이 많은데 남구는 하나도 없어요 빨리 민들어 주세요,도시창조국 공원녹지과
공공도로 흰색 실선에 주차 금지 표시판을 세워두는 업체 안녕하세요 흰색 실선은 주정차가 가능하다고 알고 있습니다가게가 구청부동산의 허락을 받은 자리이며 본인 가게의 자리이니 차를 빼달라며 땅에 대한 권리를 요구합니다주차 금지 표지판까지 세워두고 있는 상황입니다 건물 입주민으로서 불편을 겪고 있습니다 검토 부탁드립니다 ,도시창조국 교통과
대구 남구 대명남로 절대주차금지 구역에 주차된 차량 대구 남구 남대명파출소 맞은편대구 남구 대명남로 차선 도로 위에 앞산 방향 우회전 차선에 차들이 늘 항상 주차가 되어있습니다주차되어 있는 차들 때문에 우회전이 늘 불가하고요맞은편에는 남대명파출소가 있는데도 단속을 전혀 하지 않나봅니다전봇대에 분명히 노란색 표지판으로 절대주차금지 전방교차로까지 라고 붙어져있는데도 불구하고 주차하는 차들이 즐비한데 왜 단속을 하지 않나요업무태만 아닌가요해당 차로 위에 주차 못하도록 적극 단속 부탁합니다,도시창조국 교통과
