content,dept
"지하수개발·이용시공업 (등록신청, 변경등록신청)",경제환경국 기후환경과
특정토양오염관리대상시설 설치신고,경제환경국 기후환경과
화물자동차 운송주선사업 허가사항 변경신고,경제환경국 교통행정과
주택건설(대지조성) 사업계획(변경) 승인,도시창조국 건축과
동물병원 개설신고(법인),경제환경국 경제지원과
폐수배출시설 설치허가신청(설치신고),경제환경국 기후환경과
가축인공수정소 휴업(폐업·영업재개·신고사항변경) 신고,경제환경국 경제지원과
지하수개발허가,경제환경국 기후환경과
온천이용허가,경제환경국 기후환경과
"자동차관리사업 신고(양도·양수,합병)",경제환경국 일자리지원과
종자업등록신청,경제환경국 경제지원과
가축인공수정소 개설(휴업·폐업·영업재개·신고사항변경)신고서,경제환경국 경제지원과
대규모점포(준대규모점포) 관리자(변경) 신고,경제환경국 경제지원과
소음·진동 배출시설 설치허가(신고),경제환경국 환경보호과
통신판매업신고,자치행정국 총무과
한약방이전허가,보건소 보건행정과
청소년수련시설등록(변경등록),복지문화국 평생교육과
사회복지법인 기본재산처분허가,복지문화국 어르신장애인과
여객자동차운송사업 운송개시일연기(운송개시기간연장) 신청,도시창조국 교통과
산지전용기간 연장허가,도시창조국 공원녹지과
허가사항 변경허가(문화재),복지문화국 문화체육관광과
공원내 행위허가,도시창조국 도시재생과
건설기계정비업등록,도시창조국 건설과
산지전용 변경신고,도시창조국 공원녹지과
양로시설·노인공동생활가정·노인복지주택·노인요양시설·노인요양공동생활가정 비용수납신고,복지문화국 어르신장애인과
동물용 의료기기 판매업·임대업 신고,경제환경국 일자리경제과
"축산물운반업(축산물판매업,식육즉석판매가공업) 영업신고 변경",경제환경국 위생과
관광사업 변경등록,경제환경국 위생과
지하수정화업 등록사항변경신고,경제환경국 환경보호과
사업용자동차 차령조정신청,도시창조국 교통과
국가지정(등록)문화재 현상변경 허가,주민생활지원국 문화체육과
건강기능식품 영업자지위승계신고,경제환경국 위생과
농지전용 용도변경 승인,도시창조국 도시재생과
노인의료복지시설 비용수납신고,복지문화국 어르신장애인과
재가노인복지시설 비용수납신고,복지문화국 어르신장애인과
온천발견신고,경제환경국 환경보호과
토지(임야)이동신청,자치행정국 종합민원과
농지전용 허가(변경허가),도시창조국 도시재생과
여객자동차운송사업운송약관(자동차대여사업대여 약관) 신고,도시창조국 교통과
"게임제작업, 게임배급업, 청소년게임제공업, 인터넷컴퓨터게임시설제공업,복합유통게임제공업, 일반게임제공업 허가·등록·신고사항 변경",복지문화국 문화체육관광과
식품관련영업허가,경제환경국 위생과
폐기물처리시설(매립시설) 사용개시신고,경제환경국 청소과
가정폭력상담소 변경신고,주민생활지원국 여성가족과
방사선 관계 종사자 변동 및 안전관리책임자 선임해임겸임 신고,경제환경국 일자리경제과
사회복지법인 정관변경인가,주민생활지원국 여성가족과
노인주거복지시설 설치신고,주민생활지원국 주민복지과
청소년수련시설의설치·운영허가(변경허가)[복합],주민생활지원국 평생교육과
약국제제·조제실제제 제조품목신고,보건소 보건과
화물자동차 운송주선사업 허가,도시건설국 교통과
(도시개발사업 조성토지 등의)준공 전 사용허가신청,도시건설국 도시관리과
자동차 종합검사 유효기간 연장 등 신청,도시건설국 교통과
"양곡가공업의 신고(제분업, 제조업)",경제환경국 일자리경제과
가설건축물 존치기간 연장 신고,도시건설국 도시관리과
석유판매업(용제판매소)등록,경제환경국 환경보호과
공유수면점·사용변경허가,경제환경국 일자리경제과
건조물 건축(신축·증축·개축 등) 허가 신청(전통사찰보존지),주민생활지원국 문화체육과
노인주거(의료·여가·재가)복지시설 폐지·휴지 신고,주민생활지원국 주민복지과
의료기기판매업 변경신고,보건소 보건과
기타유원시설업 변경신고,주민생활지원국 문화체육과
아동복지시설 휴지·폐지·재개 신고,주민생활지원국 주민복지과
공공하수도 공사(변경·유지·폐지) 허가,도시건설국 건설과
한약업사허가,보건소 보건과
국유재산사용수익허가(국유재산법적용을 받는 도로·구거·하천·유지·제방 및 그 부속시설에 한함),도시건설국 건설과
골재채취업 등록사항 변경신고,도시건설국 지적과
국유재산 사용수익허가·대부·매수 (기획재정부),경제환경국 일자리경제과
가정폭력 상담소(보호시설·교육훈련시설) 폐지(휴지·운영재개)신고,주민생활지원국 주민복지과
화물자동차 운송(운송주선·운송가맹)사업 양도·양수신고,웃는얼굴아트센터
