content,dept
동물용 의약품 제조관리자(수입관리자·관리약사) 변경신고,경제복지국 경제지원과
입목등록,도시안전국 공원녹지과
의료기기영업 휴업·폐업·재개 신고,행정문화국 민원여권과
시장정비사업추진계획 승인추천,경제복지국 경제정책과
국내/국외유료직업소개사업등록신청,경제환경국 일자리경제과
골재채취업등록,도시안전국 건설과
가축분뇨배출시설 변경허가,경제복지국 환경녹색과
위생용품 제조업 등 영업신고사항 변경신고,행정문화국 식품산업과
"정액등처리업 허가, 변경허가 신청",경제복지국 경제지원과
공공하수도 공사(변경·유지·폐지) 허가,도시안전국 건설과
"지하수개발·이용시공업 (등록신청, 변경등록신청)",경제복지국 환경녹색과
수상레저사업 등록ㆍ갱신신청,도시안전국 안전총괄과
건설기계등록,도시안전국 건설과
건축물 용도변경 허가(신고),도시안전국 건축주택과
유출지하수 이용계획 신고,경제복지국 환경녹색과
유원시설업 (조건부영업)허가,행정문화국 관광과
공유재산대부계약갱신,도시안전국 건축주택과
가축인공수정사면허,경제복지국 경제지원과
비료생산업등록,경제복지국 경제지원과
건설폐기물처리업 휴업(폐업·재개업)신고,경제복지국 환경녹색과
검사대상기기 조종자 선임기한 연기신청,경제복지국 경제지원과
"하천점용허가(토지, 하천시설의 점용 등)",도시안전국 건설과
건설기계매매업등록,도시안전국 건설과
기계·기구정밀도검사 기간조정신청,도시안전국 교통과
건설업양도신고,도시안전국 건설과
한약방이전허가,보건소 보건의약과
식품관련영업 허가사항 변경허가(신고),행정문화국 식품산업과
가정폭력상담소 설치신고,경제복지국 여성청소년과
가족묘지등의 설치(변경) 허가,경제복지국 생활복지과
온천발견신고,경제복지국 환경자원과
국가지정(등록)문화재 (보호물·보호구역) (멸실·유실·도난·훼손)신고,자치행정국 문화관광과
장애인 등록 신청,경제복지국 복지정책과
건축물 사용승인 신청,자치행정국 문화관광과
종자업등록신청,경제복지국 창조경제과
"성폭력피해상담소 (소재지,명칭,소장) 변경신고",경제복지국 가족복지과
전통시장 인정신청,경제복지국 창조경제과
건축물 용도변경 사용승인 신청,안전도시국 건축주택과
자가용자동차 유상임대허가,안전도시국 교통과
토지(임야)이동신청,경제복지국 생활복지과
산지전용 변경신고,안전도시국 공원녹지과
폐기물처리시설(매립시설) 사용개시신고,경제복지국 환경자원과
도로점용허가,안전도시국 공원녹지과
건축 신고,경제복지국 생활복지과
여객자동차터미널 사용약관 신고(변경신고),안전도시국 교통과
"종축업 휴업, 폐업, 영업재개 신고",경제복지국 창조경제과
고압가스용기(냉동기·특정설비)변경등록,경제복지국 창조경제과
고압가스용기(냉동기·특정설비)등록,경제복지국 창조경제과
입양기관허가,경제복지국 가족복지과
"사도개설(개축,증축, 변경) 허가",안전도시국 건설과
담배도매업 등록,경제복지국 창조경제과
공유수면매립공사 준공검사,안전도시국 건설과
노인주거복지시설 설치신고,경제복지국 생활복지과
수산물가공업등록사항변경,경제복지국 창조경제과
양곡가공업의 등록,읍/면/동사무소
여객자동차터미널사업 상속신고,안전도시국 교통과
사회복지법인 기본재산처분허가,복지생활국 가족복지과
사회복지법인 정관변경인가,복지생활국 가족복지과
골재채취업 양도·양수신고,안전도시국 건설과
산림경영계획(변경) 인가,도시건설국 안전녹지과
소음·진동 배출시설 설치허가(신고),경제복지국 환경자원과
지하수개발·이용시공업 승계신고,복지생활국 환경청소과
산지복구설계서 승인신청,도시건설국 안전녹지과
"지하수영향조사기관 (등록신청, 변경등록신청)",복지생활국 환경청소과
산지전용(변경)허가,도시건설국 안전녹지과
석유판매업(용제판매소)등록,경제복지국 창조경제과
임대주택 분양전환 허가,안전도시국 건축주택과
"가축분뇨관련영업 [허가신청서, 변경허가신청서, 변경신고서]",경제복지국 환경자원과
유해화학물질 영업변경 허가신청/ 신고,복지생활국 환경청소과
봉안시설(봉안묘·봉안탑·봉안담) 설치(변경) 신고,복지생활국 복지서비스과
국유(공유)재산사용허가,도시건설국 도시공원과
의료기기판매업 변경신고,보건소 보건과
산후조리업 (변경)신고,보건소 보건과
공유수면점·사용변경허가,안전도시국 건설과
허가사항 변경허가(문화재),문화공보실
가정폭력상담소 변경신고,주민생활지원국 복지지원과
지하수개발·이용 변경허가,주민생활지원국 환경청소과
가스용품 제조사업 변경허가,주민생활지원국 경제과
아동복지시설 휴지·폐지·재개 신고,주민생활지원국 복지지원과
노인의료복지시설 비용수납신고,주민생활지원국 복지지원과
장애인복지시설 설치·운영신고,주민생활지원국 복지지원과
무료직업소개사업신고,주민생활지원국 경제과
동물병원 개설신고 변경,주민생활지원국 경제과
고압가스 제조·판매·저장소설치 변경허가,주민생활지원국 경제과
"가축사육업 휴업, 폐업, 영업재개, 등록사항 변경 신고",주민생활지원국 경제과
영업자 지위승계 신고,주민생활지원국 경제과
굴착행위변경신고,주민생활지원국 환경청소과
동력장치설치(변경)허가,주민생활지원국 환경청소과
담배소매인 영업소위치변경승인,주민생활지원국 경제과
"궤도사업경영, 전용궤도운영 휴지 · 휴지기간변경, 폐지 신고",안전도시국 교통과
고압가스 제조·판매·저장소설치 (변경)허가,주민생활지원국 경제과
대기배출시설 변경허가 및 변경신고,주민생활지원국 환경청소과
농약판매업등록,주민생활지원국 경제과
고압가스제조(변경)신고,주민생활지원국 경제과
