content,dept
"음반·음악영상물제작업, 음반, 음악영상물배급업, 온라인음악서비스제공업, 노래연습장업 폐업신고",관광경제국 문화교육과
식품관련영업허가,보건소 위생과
노동조합설립 신고사항 변경신고,관광경제국 일자리경제과
건설폐기물처리업 허가(변경허가) 신청,관광경제국 환경자원과
국가지정(등록)문화재 (보호물·보호구역) (멸실·유실·도난·훼손)신고,관광경제국 관광진흥과
유출지하수 이용계획 신고,관광경제국 환경자원과
자가용화물자동차 유상운송허가,도시안전국 교통과
건설업상속신고,관광경제국 일자리경제과
화물자동차 운송주선사업 허가사항신고,도시안전국 교통과
"게임제작업, 게임배급업, 청소년게임제공업, 인터넷컴퓨터게임시설제공업,복합유통게임제공업, 일반게임제공업 허가·등록·신고사항 변경",관광경제국 문화교육과
사회복지시설 설치·운영 신고,행정복지국 복지정책과
아동복지시설 설치신고,행정복지국 복지정책과
대규모점포(준대규모점포) 관리자(변경) 신고,관광경제국 일자리경제과
직장주택조합 설립신고,환경건설국 건축주택과
여객자동차운송사업 운송개시일연기(운송개시기간연장) 신청,환경건설국 교통과
고압가스 제조·판매·저장소설치 (변경)허가,관광경제국 일자리경제과
무료직업소개사업신고,도시재생국 일자리경제과
가정폭력 상담소(보호시설·교육훈련시설) 폐지(휴지·운영재개)신고,행정복지국 복지정책과
시장정비사업추진계획 변경승인,도시재생국 일자리경제과
노인여가복지시설 폐지·휴지 신고,행정복지국 복지정책과
여객자동차운송사업 등록,환경건설국 교통과
기타유원시설업 변경신고,도시재생국 관광자원과
굴착행위변경신고,환경건설국 환경자원과
지하수개발.이용시공업등록사항변경신고,환경건설국 환경자원과
환경개선부담금 조정신청,환경건설국 환경자원과
"폐기물처리(수집·운반, 재활용) 신고(변경신고)",환경건설국 환경자원과
동물용 의약품 제조관리자(수입관리자·관리약사) 변경신고,도시재생국 일자리경제과
여객자동차운송사업 운임·요금 신고(변경신고),환경건설국 교통과
여객자동차터미널사업 양도·양수신고,환경건설국 교통과
"장애인복지시설 명칭, 시설의 종류, 시설의 장, 소재지, 이용정원 변경신고",복지문화국 가족복지과
노인주거(의료·여가·재가)복지시설 폐지·휴지 신고,복지문화국 가족복지과
상인회 등록,안전행정국 경제과
골재채취업 등록사항 변경신고,도시관광국 건설과
장애인복지시설 운영 중단·재개·폐지 신고,복지문화국 가족복지과
소음·진동 배출시설 변경신고,환경건설국 환경자원과
(건축물) 분양신고,환경건설국 건축주택과
사회복지법인 정관변경인가,복지문화국 복지지원과
동물용의약품 도매상 허가,안전행정국 경제과
양곡가공업의 등록,환경건설국 환경자원과
건설기계사업 휴지·폐지·재개 신고,도시관광국 건설과
자가용자동차 노선운행허가,환경건설국 교통과
지하수개발·이용 변경허가,환경건설국 환경자원과
재가노인복지시설 폐지·휴지 신고,복지문화국 가족복지과
양로시설·노인공동생활가정·노인복지주택·노인요양시설·노인요양공동생활가정 비용수납신고,복지문화국 가족복지과
노인주거복지시설 설치신고,복지문화국 가족복지과
도로점용허가 (일시),도시국 도시경관과
공작물축조 신고,도시국 건축주택과
외국인 토지취득허가,안전행정국 민원토지과
공원내 행위신고,도시국 건축주택과
"지하수개발·이용시공업 (등록신청, 변경등록신청)",환경건설국 환경자원과
동력 수상레저기구 등록,복지문화국 문화관광과
동물약국 개설등록,행정지원국 경제과
임대사업자 등록사항 변경신고,도시국 건축주택과
공유수면 점용 사용 허가 신청,도시국 건설안전과
개발행위허가 (토지형질변경·토석채취·공작물설치·토지분할·물건적치),도시국 건설방재과
가정폭력피해자 보호시설 인가,주민생활지원국 주민복지과
관광사업계획 변경승인,주민생활지원국 문화관광과
옥외광고물 등의 표시기간 연장허가(신고),도심재생지원단
공공하수도 공사(변경·유지·폐지) 허가,도시국 건설안전과
동물용 의료기기 판매업·임대업 신고,행정지원국 경제과
노인의료복지시설 폐지·휴지 신고,주민생활지원국 주민복지과
지하수에 영향을 미치는 굴착행위 종료신고,주민생활지원국 환경과
개인하수처리시설 설계 시공업 등록(변경),주민생활지원국 환경과
화물자동차 운송사업 영업소허가,도시국 교통과
건축물 대수선 신고,도시국 건축주택과
대기배출시설 설치허가 신청(신고),주민생활지원국 환경과
운행차 배출가스 확인검사대행자 변경등록,주민생활지원국 환경과
대기배출시설 변경신고,주민생활지원국 환경과
주택관리업 등록,도시국 건축주택과
동물병원 개설신고,행정지원국 경제과
거래가격 신고,안전행정국 민원토지과
폐기물처리사업(사업변경)계획서 제출,주민생활지원국 녹색환경과
유독물 영업등록,주민생활지원국 환경과
지하수개발·이용 준공신고,주민생활지원국 환경과
사회복지시설 휴지·재개·폐지 신고,주민생활지원국 주민복지과
사업용자동차 차령조정신청,도시국 교통과
비료수입업신고,행정지원국 경제과
유해야생동물 포획허가,주민생활지원국 환경과
화물자동차 운송(운송주선·운송가맹)사업 상속신고,도시국 교통과
시장정비사업추진계획 승인추천,행정지원국 경제과
"여객자동차운송사업,자동차대여사업,여객자동차운송가맹사업 상속신고",도시국 교통과
