content,dept
액화석유가스의 충전사업(집단공급사업·판매사업·저장소설치) 변경허가,복지국 녹색환경과
의료기기 판매(임대)업 변경신고,보건소
개인하수처리시설 설계 시공업 등록(변경),복지국 녹색환경과
오염토양 반출정화(변경)계획서 제출,복지국 녹색환경과
동물용의약품 도매상 허가,보건소 보건행정과
산림경영계획 산림사업 신고,도시국 공원녹지과
아동복지시설 휴지·폐지·재개 신고,복지국 아동보육과
특정토양오염관리대상시설 설치신고,복지국 녹색환경과
가축인공수정소 개설(휴업·폐업·영업재개·신고사항변경)신고서,복지국 녹색환경과
수렵면허 변경,복지국 녹색환경과
사회복지법인 정관변경인가,복지국 아동보육과
사회복지시설 설치·운영 신고,복지국 복지정책과
장애인 등록 신청,복지국 생활보장과
대규모점포(준대규모점포) 관리자(변경) 신고,기획재정국 일자리경제과
산림경영계획(변경) 인가,도시국 공원녹지과
사회복지법인 기본재산처분허가,복지국 복지정책과
유출지하수 이용계획 신고,복지국 녹색환경과
건축 신고,도시국 공원녹지과
농지전용 허가(변경허가),복지국 녹색환경과
종자업등록신청,복지국 녹색환경과
동물용 의료기기 판매업·임대업 신고,보건소 보건행정과
입목등록,도시국 공원녹지과
봉안시설(봉안묘·봉안탑·봉안담) 설치(변경) 신고,복지국 복지정책과
국유재산사용수익허가(국유재산법적용을 받는 도로·구거·하천·유지·제방 및 그 부속시설에 한함),복지국 녹색환경과
허가사항 변경허가(문화재),문화교육국 문화예술과
가족묘지등의 설치(변경) 허가,복지국 복지정책과
온천이용허가,복지국 녹색환경과
국가지정(등록)문화재 현상변경 허가,문화교육국 문화예술과
가정폭력상담소 설치신고,문화교육국 청년여성가족과
국유재산 사용수익허가·대부·매수 (기획재정부),복지국 녹색환경과
국유(공유)재산사용허가,도시국 건설과
지하수개발허가,복지국 녹색환경과
청소년수련시설 (변경)등록 또는 등록증 재교부,문화교육국 교육지원과
가정폭력상담소 변경신고,미래경쟁력본부 청년여성가족과
영화상영관 (변경)등록,행정국 문화체육과
성폭력상담소·보호시설·교육훈련시설 폐지·휴지·운영재개 신고,미래경쟁력본부 청년여성가족과
통신판매업 휴업·폐업·영업재개 신고,보건소 식품위생과
"지하수영향조사기관 (등록신청, 변경등록신청)",복지국 경제환경과
공연장 (변경)등록,행정국 문화체육과
유원시설업 (조건부영업)허가,행정국 관광과
게임제작(배급)업 등록,행정국 문화체육과
임대사업자 등록사항 변경신고,도시국 도시디자인과
고압가스 제조·판매·저장소설치 (변경)허가,복지국 경제환경과
화물자동차 운송주선사업 허가사항 변경신고,도시국 교통과
분뇨 수집·운반업 사업계획서 제출,복지국 경제환경과
개별공시지가 이의신청,도시국 토지정보과
동력장치설치(변경)허가,복지국 경제환경과
임대 조건 신고,행정국 행정지원과
가설건축물 허가,도시국 공원녹지과
"부동산중개사무소 개설등록 신청, 개업공인중개사 인장등록 신고, 분사무소 설치신고",도시국 건축과
건강진단등 신고,보건소
비디오물 시청제공업 변경등록,교육문화국 문화체육과
동물약국 개설등록,복지국 경제환경과
공장설립 (변경)승인,복지국 경제환경과
입양기관 변경신고,복지국 생활지원과
식품관련영업 허가사항 변경허가(신고),보건소 식품위생과
소음·진동 배출시설 변경신고,복지국 경제환경과
여객자동차운송사업 등록,도시국 교통과
기타유원시설업 신고,일자리관광사업단
아동복지시설 설치신고,복지국 생활지원과
화물자동차 운송주선사업 허가,도시국 교통과
관광사업계획 (변경)승인,일자리관광사업단
공유수면점.사용 협의 또는 승인,도시국 건설과
정신재활시설 폐지·휴지·재개 신고,보건소 건강증진과
전통시장 인정신청,복지국 경제환경과
청소년수련시설등록(변경등록),복지국 평생교육과
공원내 행위허가,도시국 건축과
창업사업계획 (변경)승인,복지국 경제환경과
"약국,안전상비의약품 판매업,의약품판매업 폐업·휴업·업무재개신고",보건소 보건과
폐기물처분시설 또는 재활용시설 설치 (변경)승인 신청,복지국 자원순환과
골재채취업 등록사항 변경신고,도시국 건설과
사도통행 제한(금지) 허가,도시국 건설과
내수면 유선 및 도선사업 운항약관 (변경)신고,도시국 생활안전과
내수면 유선 및 도선사업 면허(신고),도시국 생활안전과
외국인 토지취득허가,도시국 토지정보과
도로점용 사업계획서,도시국 건설과
대기배출시설 설치허가,복지국 경제환경과
농지보전부담금 납입기간 연장 신청,복지국 경제환경과
산지전용(변경)허가,도시국 공원녹지과
담배판매업(수입판매업·도매업) 등록변경,복지국 경제환경과
가정폭력피해자 보호시설 인가,복지국 복지과
건축물 용도변경 사용승인 신청,도시국 건축과
위생처리업신고,보건소 위생과
여객자동차터미널 사용약관 신고(변경신고),도시국 교통과
개장신고 또는 개장허가,읍/면/동사무소
폐수배출시설 변경신고,복지국 자원순환과
토지소유자주소등록신청,도시국 지적과
폐기물 처분시설 또는 재활용시설 사용종료(폐쇄) 신고,복지국 자원순환과
