content,dept
건설업상속신고,신성장전략국 일자리정책과
"가축분뇨관련영업 [허가신청서, 변경허가신청서, 변경신고서]",복지환경국 환경관리과
개별공시지가 이의신청,도시국 토지정보과
통신판매업 휴업·폐업·영업재개 신고,행정국 민원여권과
지식산업센터설립(변경)승인,신성장전략국 일자리정책과
정신요양시설 설치허가 및 허가사항 변경통지,복지환경국 희망복지과
종자업등록신청,신성장전략국 민생경제과
위생용품 제조업 등 영업신고사항 변경신고,보건소 위생과
중소기업 공동사업계획 (변경)승인,신성장전략국 일자리정책과
주민등록이의신청,읍/면/동사무소
인삼류 제조업 신고,신성장전략국 민생경제과
가정폭력 상담원 교육훈련시설 신고,복지환경국 여성아동과
수산물가공업등록사항변경,신성장전략국 민생경제과
담배도매업 등록,신성장전략국 일자리정책과
내수면어업허가,신성장전략국 민생경제과
공유재산대부계약갱신,행정국 재무과
재개발사업시행인가,신성장전략국 민생경제과
화물자동차 운송사업 허가사항신고,행정국 민원여권과
정신재활시설 설치신고 및 신고사항 변경통지,보건소 건강증진과
고압가스용기(냉동기·특정설비)변경등록,신성장전략국 일자리정책과
도로와 다른 시설의 연결허가,도시국 건설과
장애인유료복지시설 이용비용 수납신고,도시국 건설과
복합물류터미널사업의 휴업·폐업(합병 외의 사유에 따른 해산)신고,도시국 교통과
산지전용허가 변경신고,문화녹지국 공원녹지과
비료수입업신고,신성장전략국 민생경제과
산후조리업 (변경)신고,보건소 보건과
동물용 의약품 제조관리자(수입관리자·관리약사) 변경신고,신성장전략국 민생경제과
건축물 대수선 신고,도시국 건축주택과
산림경영계획 산림사업 신고,문화녹지국 공원녹지과
산림경영계획(변경) 인가,문화녹지국 공원녹지과
가축인공수정소 휴업(폐업·영업재개·신고사항변경) 신고,신성장전략국 민생경제과
가스용품 제조사업(허가 · 변경허가) 신청,복지국 경제진흥과
노동조합 설립(설립신고사항 변경)신고,복지국 경제진흥과
지하수개발·이용 시공업 양도·양수 신고,복지환경국 환경관리과
가축인공수정사면허,복지국 경제진흥과
산지복구설계서 승인신청,도시국 도시경관과
국유재산 사용수익허가·대부·매수 (기획재정부),복지국 경제진흥과
도로점용허가 (굴착),도시국 도시경관과
상인회 등록,복지국 경제진흥과
농지전용 신고(변경신고),신성장전략국 민생경제과
청소년수련시설의폐지신고,문화녹지국 교육청소년과
장애인복지시설 운영 중단·재개·폐지 신고,복지환경국 희망복지과
비산먼지시설기준 변경신청,행정국 민원여권과
소음·진동관련 특정공사 사전신고,행정국 민원여권과
임대 조건 신고,도시국 건설과
골재채취업등록,행정국 민원여권과
지방세 환급금 양도신청,도시국 건설과
무료직업소개사업신고,복지국 경제진흥과
창업사업계획 (변경)승인,복지국 경제진흥과
가정폭력피해자 보호시설 인가,복지환경국 여성아동과
"임대사업자 등록신청(개인, 법인)",도시국 건설과
공유수면점.사용 협의 또는 승인,도시국 건설과
담배판매업(수입판매업·도매업) 등록변경,주민생활지원국 경제통상과
사회복지시설 설치·운영 신고,주민생활지원국 주민복지과
토지(임야)이동신청,도시국 교통과
산지복구준공검사 신청,도시국 도시관리과
장애인복지시설 설치·운영신고,주민생활지원국 주민생활지원과
동물약국 개설등록,주민생활지원국 경제통상과
노인주거복지시설 설치신고,주민생활지원국 주민복지과
사업계획 (변경)승인(외국투자가),주민생활지원국 경제통상과
공연장 (변경)등록,총무국 문화교육과
(공동처리 운영기구)사업장폐기물배출자 신고(변경신고),주민생활지원국 환경관리과
도로점용허가 (공작물설치),도시국 건축주택과
지방세 납부기한 연장 신청,안전행정국 세무2과
시장정비사업추진계획 승인추천,주민생활지원국 경제통상과
폐기물처분시설 또는 재활용시설 설치 (변경)승인 신청,주민생활지원국 환경관리과
지하수관련 토지 출입(사용)허가,주민생활지원국 환경관리과
사회복지법인 기본재산처분허가,주민생활지원국 주민복지과
지하수개발·이용 변경허가,주민생활지원국 환경관리과
"처리시설설계·시공업(등록신청서, 변경등록신청서, 변경신고서)",주민생활지원국 환경관리과
새마을금고 설립·합병 등 인가,안전행정국 총무과
위생처리업신고,보건소 위생과
아동복지시설 휴지·폐지·재개 신고,주민생활지원국 주민복지과
진단용방사선발생장치 사용중지·양도·이전·폐기 신고,주민생활지원국 경제통상과
방사선 관계 종사자 변동 및 안전관리책임자 선임해임겸임 신고,주민생활지원국 경제통상과
동물병원 개설신고(법인),주민생활지원국 경제통상과
약국개설등록,보건소 위생과
의료기관 개설신고 또는 변경신고,보건소 위생과
수산물가공업등록,주민생활지원국 경제통상과
비디오물 제작(배급)업 변경신고,문화공보실
가정폭력상담소 변경신고,주민생활지원국 주민복지과
노인여가복지시설 폐지·휴지 신고,주민생활지원국 주민복지과
먹는물 관련 영업지위 승계를 위한 변경신고,주민생활지원국 경제통상과
화물자동차 운송주선사업 영업소허가,도시국 교통과
골재채취업 등록사항 변경신고,도시국 교통과
취득토지 이용목적 변경승인,도시국 토지정보과
임대주택 분양전환 신고,도시국 건축주택과
건설폐기물처리업 휴업(폐업·재개업)신고,주민생활지원국 환경관리과
산지전용(변경)허가,도시국 도시관리과
"하천점용허가(토지, 하천시설의 점용 등)",도시국 건설과
장애인 등록 신청,주민생활지원국 주민생활지원과
건축물 용도변경 허가(신고),도시국 건설과
주택조합 설립(변경·해산)인가,도시국 건축주택과
기타유원시설업 신고,문화공보실
