content,dept
"자동차관리사업 신고(양도·양수,합병)",경제환경국 교통과
재가노인복지시설 설치신고,교육복지국 복지정책과
관광사업 변경등록,문화관광국 관광과
영화상영관 (변경)등록,문화관광국 문화예술과
화물자동차 운송주선사업 허가사항신고,경제환경국 교통과
"여객자동차운송사업,자동차대여사업,여객자동차운송가맹사업 상속신고",경제환경국 교통과
아동복지시설 설치신고,교육복지국 희망지원과
야생생물 [수출/ 수입/반출/반입] 허가 신청,경제환경국 환경과
음반·음악영상물 제작(배급)업 변경신고,정책관광국 문화체육과
입목벌채(변경) 허가,자치행정국 종합민원과
어업 변경허가 신청,경제환경국 농업정책과
유출지하수 이용계획 신고,경제환경국 환경과
"여객자동차운송사업, 자동차대여사업, 여객자동차운송가맹사업 휴업 ·폐업 허가(신고)",경제환경국 청소위생과
담배판매업(수입판매업·도매업) 등록변경,경제환경국 일자리경제과
화물자동차 운송사업허가,건설도시국 건설과
"화물자동차 (운송사업 운송약관, 운송주선사업 운송주선약관, 운송가맹사업 운송가맹약관) (신고, 변경신고)",주민복지국 교통과
산지복구설계서 승인신청,보건소 보건과
화물자동차 운송주선사업 허가사항 변경신고,주민복지국 교통과
공원내 행위허가,문화관광국 공원녹지과
지하수개발·이용신고,경제환경국 일자리경제과
지하수개발 이용 종료신고,경제환경국 일자리경제과
복합물류터미널사업의 휴업·폐업(합병 외의 사유에 따른 해산)신고,주민복지국 교통과
복합물류터미널사업의 법인합병신고,주민복지국 교통과
"행위허가(용도변경, 개축·재축·대수선, 파손·철거 등)",자치행정국 종합민원과
어선등록사항 변경등록,경제환경국 농업정책과
건축물 용도변경 사용승인 신청,자치행정국 종합민원과
고압가스용기(냉동기·특정설비)변경등록,정책관광국 경제과
폐기물 수집운반업자의 임시보관장소 설치(변경)승인,주민복지국 청소위생과
전화권유판매업변경신고,경제환경국 일자리경제과
화장시설(봉안당) 설치(변경) 신고,주민복지국 복지정책과
"종축업 휴업, 폐업, 영업재개 신고",경제환경국 농업정책과
(도시공원. 녹지) 점용허가,문화관광국 공원녹지과
수상레저사업 등록ㆍ갱신신청,건설도시국 안전방재과
동물용의약품등 허가(등록·신고) 변경,주민복지국 농업정책과
자연휴양림 조성계획(변경)승인,건설도시국 공원녹지과
주민등록이의신청,읍/면/동사무소
비디오물 제작(배급)업 변경신고,정책사업단 문화체육과
여객자동차운송사업운송약관(자동차대여사업대여 약관) 신고,건설도시국 교통과
대기배출(방지)시설 가동개시일 변경신청,주민복지국 환경과
농어촌관광휴양지 개발사업계획(변경)승인,주민복지국 농업정책과
의료기기판매업 변경신고,보건소 보건과
청소년수련시설 (변경)등록 또는 등록증 재교부,주민복지국 복지정책과
동물용의약품 도매상 허가,주민복지국 농업정책과
수산물가공업등록,주민복지국 농업정책과
장애인 등록 신청,논공읍 공단출장소
동물약국 개설등록,주민복지국 농업정책과
지하수개발·이용 변경허가,주민복지국 환경과
개인하수처리시설 설계 시공업 등록(변경),주민복지국 환경과
