content,dept
"지하수개발·이용시공업 (등록신청, 변경등록신청)",경제환경국 기후환경과
특정토양오염관리대상시설 설치신고,경제환경국 기후환경과
화물자동차 운송주선사업 허가사항 변경신고,경제환경국 교통행정과
주택건설(대지조성) 사업계획(변경) 승인,도시창조국 건축과
동물병원 개설신고(법인),경제환경국 경제지원과
폐수배출시설 설치허가신청(설치신고),경제환경국 기후환경과
가축인공수정소 휴업(폐업·영업재개·신고사항변경) 신고,경제환경국 경제지원과
지하수개발허가,경제환경국 기후환경과
온천이용허가,경제환경국 기후환경과
"자동차관리사업 신고(양도·양수,합병)",경제환경국 일자리지원과
종자업등록신청,경제환경국 경제지원과
가축인공수정소 개설(휴업·폐업·영업재개·신고사항변경)신고서,경제환경국 경제지원과
대규모점포(준대규모점포) 관리자(변경) 신고,경제환경국 경제지원과
소음·진동 배출시설 설치허가(신고),경제환경국 환경보호과
통신판매업신고,자치행정국 총무과
한약방이전허가,보건소 보건행정과
청소년수련시설등록(변경등록),복지문화국 평생교육과
사회복지법인 기본재산처분허가,복지문화국 어르신장애인과
여객자동차운송사업 운송개시일연기(운송개시기간연장) 신청,도시창조국 교통과
산지전용기간 연장허가,도시창조국 공원녹지과
허가사항 변경허가(문화재),복지문화국 문화체육관광과
공원내 행위허가,도시창조국 도시재생과
건설기계정비업등록,도시창조국 건설과
산지전용 변경신고,도시창조국 공원녹지과
양로시설·노인공동생활가정·노인복지주택·노인요양시설·노인요양공동생활가정 비용수납신고,복지문화국 어르신장애인과
동물용 의료기기 판매업·임대업 신고,경제환경국 일자리경제과
"축산물운반업(축산물판매업,식육즉석판매가공업) 영업신고 변경",경제환경국 위생과
관광사업 변경등록,경제환경국 위생과
지하수정화업 등록사항변경신고,경제환경국 환경보호과
사업용자동차 차령조정신청,도시창조국 교통과
국가지정(등록)문화재 현상변경 허가,주민생활지원국 문화체육과
건강기능식품 영업자지위승계신고,경제환경국 위생과
농지전용 용도변경 승인,도시창조국 도시재생과
노인의료복지시설 비용수납신고,복지문화국 어르신장애인과
재가노인복지시설 비용수납신고,복지문화국 어르신장애인과
온천발견신고,경제환경국 환경보호과
토지(임야)이동신청,자치행정국 종합민원과
농지전용 허가(변경허가),도시창조국 도시재생과
여객자동차운송사업운송약관(자동차대여사업대여 약관) 신고,도시창조국 교통과
"게임제작업, 게임배급업, 청소년게임제공업, 인터넷컴퓨터게임시설제공업,복합유통게임제공업, 일반게임제공업 허가·등록·신고사항 변경",복지문화국 문화체육관광과
식품관련영업허가,경제환경국 위생과
폐기물처리시설(매립시설) 사용개시신고,경제환경국 청소과
가정폭력상담소 변경신고,주민생활지원국 여성가족과
방사선 관계 종사자 변동 및 안전관리책임자 선임해임겸임 신고,경제환경국 일자리경제과
사회복지법인 정관변경인가,주민생활지원국 여성가족과
노인주거복지시설 설치신고,주민생활지원국 주민복지과
청소년수련시설의설치·운영허가(변경허가)[복합],주민생활지원국 평생교육과
약국제제·조제실제제 제조품목신고,보건소 보건과
화물자동차 운송주선사업 허가,도시건설국 교통과
(도시개발사업 조성토지 등의)준공 전 사용허가신청,도시건설국 도시관리과
자동차 종합검사 유효기간 연장 등 신청,도시건설국 교통과
"양곡가공업의 신고(제분업, 제조업)",경제환경국 일자리경제과
가설건축물 존치기간 연장 신고,도시건설국 도시관리과
석유판매업(용제판매소)등록,경제환경국 환경보호과
공유수면점·사용변경허가,경제환경국 일자리경제과
건조물 건축(신축·증축·개축 등) 허가 신청(전통사찰보존지),주민생활지원국 문화체육과
노인주거(의료·여가·재가)복지시설 폐지·휴지 신고,주민생활지원국 주민복지과
의료기기판매업 변경신고,보건소 보건과
기타유원시설업 변경신고,주민생활지원국 문화체육과
아동복지시설 휴지·폐지·재개 신고,주민생활지원국 주민복지과
공공하수도 공사(변경·유지·폐지) 허가,도시건설국 건설과
한약업사허가,보건소 보건과
국유재산사용수익허가(국유재산법적용을 받는 도로·구거·하천·유지·제방 및 그 부속시설에 한함),도시건설국 건설과
골재채취업 등록사항 변경신고,도시건설국 지적과
국유재산 사용수익허가·대부·매수 (기획재정부),경제환경국 일자리경제과
가정폭력 상담소(보호시설·교육훈련시설) 폐지(휴지·운영재개)신고,주민생활지원국 주민복지과
화물자동차 운송(운송주선·운송가맹)사업 양도·양수신고,웃는얼굴아트센터
지하수개발 및 이용시공업의 등록신청 및 변경등록신청에 대한 민원입니다. 처리 부탁드립니다.,경제환경국 기후환경과
지하수개발 및 이용시공업 등록신청 관련하여 추가 제출해야 할 서류가 어떤 것인지 알고 싶습니다.,경제환경국 기후환경과
"안녕하세요, 저는 [지역명]에 거주하는 [이름]입니다. 저희 동네에는 특정토양오염관리대상시설로 분류되는 시설이 설치되어 있습니다. 이에 따라 저희 지역의 환경과 안전이 우려됩니다.

따라서, 특정토양오염관리대상시설 설치신고를 요청드립니다. 해당 시설의 토양오염 관리와 안전점검에 대한 강화책을 확보해주시면 저희 지역 주민들이 평안하게 살 수 있을 것입니다. 감사합니다.",경제환경국 기후환경과
저희 동네에 있는 특정토양오염관리대상시설 설치신고가 제대로 이루어지지 않고 있는 것 같습니다. 이에 대하여 조속한 조치를 취해 주시기 바랍니다.,경제환경국 기후환경과
화물자동차 운송주선사업 허가사항 변경신고에 대해 제출하고자 합니다. 처리 부탁드립니다.,경제환경국 교통행정과
"저희 동네에 위치한 화물자동차 운송주선사업에 대해 허가사항이 변경된 것으로 확인되어 이에 대한 불만을 신청합니다. 이로 인해, 주거지와 가까이 위치한 건물에서 발생하는 소음과 대형차량으로 인한 교통체증으로 인한 불편이 지속적으로 발생하고 있어 이에 대한 조치를 취해주실 것을 요청합니다. 감사합니다.",경제환경국 교통행정과
저희 동네에 계획된 '주택건설(대지조성) 사업계획(변경)'에 대해 궁금한 점이 있어 문의드립니다. 이에 대해 공공기관에서 처리 부탁드립니다.,도시창조국 건축과
저희 동네에서 주택건설을 위한 대지조성 사업계획이 변경되어 승인된 것을 확인하였습니다. 이에 대해 감사드립니다.,도시창조국 건축과
"주민으로서 동네에 동물병원이 필요하다고 생각하여, 법인으로 동물병원을 개설신고 하려고 합니다. 법인으로 개설신고하여 모든 절차를 완료하였으니, 필요한 검사 및 확인 절차 등을 부탁드립니다. 이에 대한 신속한 처리와 결과를 바라며 문의드립니다.",경제환경국 경제지원과
"저는 주민입니다. 이 지역에는 동물 치료 및 진료를 위한 동물병원이 부족합니다. 따라서, 동물 치료 및 진료를 위한 법인 동물병원 개설신고를 요청합니다. 이에 대한 긍정적인 답변 기다리겠습니다. 감사합니다.",경제환경국 경제지원과
폐수배출시설 설치신고를 위해 필요한 절차와 서류에 대한 안내를 받지 못해 불편함을 겪고 있습니다. 신속한 처리와 상세한 안내를 부탁드립니다.,경제환경국 기후환경과
"주변에 폐수배출시설이 설치되어 있다면, 해당 시설이 법적으로 허가를 받아서 설치되었는지 확인해 주세요. 만약 허가를 받지 않은 채 설치되어 있다면, 적극적인 조치를 요구해야 할 수 있습니다.",경제환경국 기후환경과
"안녕하세요, 가축인공수정소 휴업(폐업·영업재개·신고사항변경) 신고 관련하여 문의드립니다. 처리가 가능한 공공기관이 있는지 여쭤보고자 합니다. 감사합니다.",경제환경국 경제지원과
"가축인공수정소의 휴업, 폐업, 영업재개 또는 신고사항 변경에 대한 관련 내용으로 인한 주민 불편사항에 대한 신고가 접수되었습니다. 해당 신고는 적극적으로 처리되어 관계기관과 접촉하여 이에 대한 조치를 취할 예정이며, 처리과정 중 주민에게는 최대한 불편을 최소화하도록 노력할 것입니다. 감사합니다.",경제환경국 경제지원과
"저희 동네에 지하수개발허가가 발급되었다는 소식을 들었습니다. 하지만 주변 주민들은 해당 계획에 대한 충분한 정보를 듣지 못하였으며, 건설로 인한 환경 파괴 우려와 지하수 오염 등 우려사항이 있습니다. 따라서, 이에 대한 충분한 검토와 주민들의 의견 수렴이 필요하다고 생각됩니다. 관련 처리 부탁드립니다.",경제환경국 기후환경과
저희 동네 주변에 지하수 개발 사업이 진행되어 불안해요. 지하수 개발허가 여부와 관련된 정보를 빠르게 제공해주시면 감사하겠습니다.,경제환경국 기후환경과
"온천 이용을 위한 허가 신청 관련하여 문의 드립니다. 저희가 이용하고자 하는 온천이 해당 지역의 환경과 건강에 안전하게 영향을 미치지 않는지 확인하고자 합니다. 관련 절차 및 검사 기준 등 자세한 안내를 부탁드리며, 가능한 빠른 처리 부탁드립니다. 감사합니다.",경제환경국 기후환경과
"저는 옆에 위치한 온천에서 수질 오염으로 인해 물이 끈적끈적하고 냄새가 나기 때문에 건강하고 안전한 온천 이용이 불가능하다고 생각합니다. 따라서 관련 부서에서는 온천 이용허가를 거부하고, 수질 개선 등의 대책을 마련해주시기를 요청드립니다.",경제환경국 기후환경과
"안녕하세요, 자동차관리사업 신고(양도·양수,합병)과 관련하여 문의드립니다. 해당 신고에 대한 절차와 필요한 서류 등에 대해 안내받을 수 있는 방법을 알려주세요. 이 민원은 '경제환경국 일자리지원과'에서 처리가 가능한 건가요? 감사합니다.",경제환경국 일자리지원과
저희 가족이 자동차관리사업을 양도하고자 합니다. 필요한 절차와 서류에 대해 안내 부탁드립니다.,경제환경국 일자리지원과
종자업을 시작하고자 하니 종자업등록신청을 해야하는데 어떻게 진행해야 할까요? 처리해 주시면 감사하겠습니다.,경제환경국 경제지원과
"종자업을 직접 운영하려는데, 종자업 등록이 필요한 것으로 알고 있습니다. 종자업등록신청 방법과 관련하여 자세한 안내 부탁드립니다.",경제환경국 경제지원과
"안녕하세요.
'가축인공수정소 개설(휴업·폐업·영업재개·신고사항변경)신고서' 관련해서 문의드립니다. 해당 신고서를 작성하여 신청하였으나 처리 현황이 확인되지 않습니다. 처리 완료 예상일을 알려주시면 감사하겠습니다.",경제환경국 경제지원과
"저희 집에 가축을 키우고 있는데, 최근에 몇 가지 변동사항이 있어서 가축인공수정소를 개설하고자 합니다. 휴업, 폐업, 영업재개, 신고사항 변경 등의 관련 신고서 제출이 필요한데, 해당 양식에 맞추어 작성해서 제출하고 싶습니다. 관련 양식과 절차 안내 부탁드립니다.",경제환경국 경제지원과
저는 이번에 우리 동네에 있는 대규모/준대규모 점포의 관리자가 변경되었다는 소문을 들었습니다. 하지만 이에 대한 사실적인 정보를 얻지 못하고 있습니다. 이로 인해 동네 상권에 대한 걱정이 늘어나고 있습니다. 이에 대한 조치가 필요합니다. 빠른 대처 부탁드립니다.,경제환경국 경제지원과
