content,dept
"음반·음악영상물제작업, 음반, 음악영상물배급업, 온라인음악서비스제공업, 노래연습장업 폐업신고",관광경제국 문화교육과
식품관련영업허가,보건소 위생과
노동조합설립 신고사항 변경신고,관광경제국 일자리경제과
건설폐기물처리업 허가(변경허가) 신청,관광경제국 환경자원과
국가지정(등록)문화재 (보호물·보호구역) (멸실·유실·도난·훼손)신고,관광경제국 관광진흥과
유출지하수 이용계획 신고,관광경제국 환경자원과
자가용화물자동차 유상운송허가,도시안전국 교통과
건설업상속신고,관광경제국 일자리경제과
화물자동차 운송주선사업 허가사항신고,도시안전국 교통과
"게임제작업, 게임배급업, 청소년게임제공업, 인터넷컴퓨터게임시설제공업,복합유통게임제공업, 일반게임제공업 허가·등록·신고사항 변경",관광경제국 문화교육과
사회복지시설 설치·운영 신고,행정복지국 복지정책과
아동복지시설 설치신고,행정복지국 복지정책과
대규모점포(준대규모점포) 관리자(변경) 신고,관광경제국 일자리경제과
직장주택조합 설립신고,환경건설국 건축주택과
여객자동차운송사업 운송개시일연기(운송개시기간연장) 신청,환경건설국 교통과
고압가스 제조·판매·저장소설치 (변경)허가,관광경제국 일자리경제과
무료직업소개사업신고,도시재생국 일자리경제과
가정폭력 상담소(보호시설·교육훈련시설) 폐지(휴지·운영재개)신고,행정복지국 복지정책과
시장정비사업추진계획 변경승인,도시재생국 일자리경제과
노인여가복지시설 폐지·휴지 신고,행정복지국 복지정책과
여객자동차운송사업 등록,환경건설국 교통과
기타유원시설업 변경신고,도시재생국 관광자원과
굴착행위변경신고,환경건설국 환경자원과
지하수개발.이용시공업등록사항변경신고,환경건설국 환경자원과
환경개선부담금 조정신청,환경건설국 환경자원과
"폐기물처리(수집·운반, 재활용) 신고(변경신고)",환경건설국 환경자원과
동물용 의약품 제조관리자(수입관리자·관리약사) 변경신고,도시재생국 일자리경제과
여객자동차운송사업 운임·요금 신고(변경신고),환경건설국 교통과
여객자동차터미널사업 양도·양수신고,환경건설국 교통과
"장애인복지시설 명칭, 시설의 종류, 시설의 장, 소재지, 이용정원 변경신고",복지문화국 가족복지과
노인주거(의료·여가·재가)복지시설 폐지·휴지 신고,복지문화국 가족복지과
상인회 등록,안전행정국 경제과
골재채취업 등록사항 변경신고,도시관광국 건설과
장애인복지시설 운영 중단·재개·폐지 신고,복지문화국 가족복지과
소음·진동 배출시설 변경신고,환경건설국 환경자원과
(건축물) 분양신고,환경건설국 건축주택과
사회복지법인 정관변경인가,복지문화국 복지지원과
동물용의약품 도매상 허가,안전행정국 경제과
양곡가공업의 등록,환경건설국 환경자원과
건설기계사업 휴지·폐지·재개 신고,도시관광국 건설과
자가용자동차 노선운행허가,환경건설국 교통과
지하수개발·이용 변경허가,환경건설국 환경자원과
재가노인복지시설 폐지·휴지 신고,복지문화국 가족복지과
양로시설·노인공동생활가정·노인복지주택·노인요양시설·노인요양공동생활가정 비용수납신고,복지문화국 가족복지과
노인주거복지시설 설치신고,복지문화국 가족복지과
도로점용허가 (일시),도시국 도시경관과
공작물축조 신고,도시국 건축주택과
외국인 토지취득허가,안전행정국 민원토지과
공원내 행위신고,도시국 건축주택과
"지하수개발·이용시공업 (등록신청, 변경등록신청)",환경건설국 환경자원과
동력 수상레저기구 등록,복지문화국 문화관광과
동물약국 개설등록,행정지원국 경제과
임대사업자 등록사항 변경신고,도시국 건축주택과
공유수면 점용 사용 허가 신청,도시국 건설안전과
개발행위허가 (토지형질변경·토석채취·공작물설치·토지분할·물건적치),도시국 건설방재과
가정폭력피해자 보호시설 인가,주민생활지원국 주민복지과
관광사업계획 변경승인,주민생활지원국 문화관광과
옥외광고물 등의 표시기간 연장허가(신고),도심재생지원단
공공하수도 공사(변경·유지·폐지) 허가,도시국 건설안전과
동물용 의료기기 판매업·임대업 신고,행정지원국 경제과
노인의료복지시설 폐지·휴지 신고,주민생활지원국 주민복지과
지하수에 영향을 미치는 굴착행위 종료신고,주민생활지원국 환경과
개인하수처리시설 설계 시공업 등록(변경),주민생활지원국 환경과
화물자동차 운송사업 영업소허가,도시국 교통과
건축물 대수선 신고,도시국 건축주택과
대기배출시설 설치허가 신청(신고),주민생활지원국 환경과
운행차 배출가스 확인검사대행자 변경등록,주민생활지원국 환경과
대기배출시설 변경신고,주민생활지원국 환경과
주택관리업 등록,도시국 건축주택과
동물병원 개설신고,행정지원국 경제과
거래가격 신고,안전행정국 민원토지과
폐기물처리사업(사업변경)계획서 제출,주민생활지원국 녹색환경과
유독물 영업등록,주민생활지원국 환경과
지하수개발·이용 준공신고,주민생활지원국 환경과
사회복지시설 휴지·재개·폐지 신고,주민생활지원국 주민복지과
사업용자동차 차령조정신청,도시국 교통과
비료수입업신고,행정지원국 경제과
유해야생동물 포획허가,주민생활지원국 환경과
화물자동차 운송(운송주선·운송가맹)사업 상속신고,도시국 교통과
시장정비사업추진계획 승인추천,행정지원국 경제과
"여객자동차운송사업,자동차대여사업,여객자동차운송가맹사업 상속신고",도시국 교통과
"저는 음반, 음악영상물 제작업, 음반, 음악영상물 배급업, 온라인음악서비스 제공업, 노래연습장업 폐업신고를 하고자 합니다. 이에 따라 처리 부탁드립니다. 감사합니다.",관광경제국 문화교육과
"노래방을 운영하고 있는데, 최근 음반·음악영상물제작업, 음반, 음악영상물배급업, 온라인음악서비스제공업, 노래연습장업 폐업신고를 받게 되어 매장 운영이 불가능해졌습니다. 따라서, 민원 신청을 통해 관련 처리 및 확인 부탁드립니다.",관광경제국 문화교육과
저희 동네 식당은 '식품관련영업허가'가 없어서 걱정입니다. 해당 식당에서는 위생적인 조치가 되고 있는지도 궁금합니다. 조속한 처리와 결과 알려주시면 감사하겠습니다.,보건소 위생과
식품관련 영업허가 신청을 위한 절차와 필요한 서류가 어떻게 되는지 알려주세요.,보건소 위생과
"안녕하세요. 노동조합원으로서, 저희 조합의 신고사항이 변경되어 관련 신고를 드리고자 합니다. 변경된 내용은 ○○입니다. 신속히 처리하여 주시면 감사하겠습니다.",관광경제국 일자리경제과
"노동조합설립 신고사항 변경신고 관련하여 문의드리고자 합니다. 변경 신고 절차에 따라 신청서를 작성하고 제출하였는데, 처리 현황을 알고 싶습니다. 처리가 완료되면 언제쯤 확인할 수 있는지 알려주시기 바랍니다.",관광경제국 일자리경제과
"건설폐기물처리업 허가(변경허가) 신청 관련하여, 제가 필요한 서류와 절차에 대해 안내를 받고자 합니다. 해당 민원은 관내에서 공공기관에서 처리 가능한지 여부를 확인 후 처리해주시면 감사하겠습니다.",관광경제국 환경자원과
"저는 XXX 지역 주민입니다. 저희 지역에 위치한 건설폐기물 처리업체에서 허가 변경 신청이 접수되었다는 소식을 들었습니다. 이에 따라 해당 업체가 지역 환경에 미칠 영향과 안전성 등에 대한 우려가 있어, 신속하게 조치가 필요하다고 판단됩니다. 따라서, 이에 대한 검토 및 대응 조치를 취해주시기를 부탁드립니다. 감사합니다.",관광경제국 환경자원과
"저는 XX시 YY구의 A씨입니다. 국가지정(등록)문화재인 XX저택이 최근 멸실, 유실, 도난, 훼손되었다는 의심이 듭니다. 저는 이에 대해 신고하고자 합니다. 보호물 및 보호구역 설정 등 관련 조치를 취하여 보호하시기 바랍니다. 처리 결과에 대한 안내를 부탁드립니다.",관광경제국 관광진흥과
"제가 거주하는 지역에 위치한 국가지정문화재가 멸실, 유실, 도난, 또는 훼손될 우려가 있어서 국가지정문화재 (보호물 또는 보호구역)의 보호를 위해 신고합니다.",관광경제국 관광진흥과
"안녕하세요, 지하수 유출 관련하여 불쾌한 냄새와 환경오염 우려가 있어서 처리 방안에 대해 문의드립니다. 이에 따라 유출지하수 이용계획을 신고하고자 합니다. 이 문제에 대한 신속하고 효과적인 처리 부탁드립니다.",관광경제국 환경자원과
"저희 동네에서 유출되는 지하수 문제로 인해 환경 오염이 심각한 상황입니다. 따라서, 해당 문제에 대한 유출지하수 이용계획을 신고해 주시기 바랍니다. 이에 대한 신속하고 적극적인 대응을 기대하며, 이 문제의 조속한 해결을 빕니다.",관광경제국 환경자원과
"저는 자가용화물자동차를 운전하고자 하고, 이에 필요한 유상운송허가 발급을 요청합니다. 해당 자격요건을 충족하고 있으며, 원활한 운송 업무를 위해 빠르게 처리 부탁드립니다. 감사합니다.",도시안전국 교통과
저는 자가용화물자동차를 이용해 유상운송을 하고자 합니다. 이를 위해 '자가용화물자동차 유상운송허가'를 신청하고자 합니다. 감사합니다.,도시안전국 교통과
"안녕하세요, 건설업상속신고 관련하여 문의드립니다. 부친께서 건설업을 하셨는데, 최근 병으로 인해 일을 더 이상 하실 수 없게 되어 상속받아 일을 이어나가려고 합니다. 상속신고 관련하여 필요한 서류나 절차가 있을까요? 처리 결과를 알려주시면 감사하겠습니다.",관광경제국 일자리경제과
"저희 동네에 새로운 건축물이 지어지는 것 같은데, 해당 건설업체가 상속신고를 하지 않은 것으로 파악됩니다. 이에 대한 조치를 취해주시기 바랍니다.",관광경제국 일자리경제과
"화물자동차 운송주선사업 허가사항신고에 관한 불편사항으로, 최근에 우리 동네에서 운송주선사업을 하는 차량들이 잦은 주행으로 인해 교통량 증가와 교통사고 위험 요소로 작용하고 있다는 점을 제보합니다. 이에 따라 교통안전 측면에서 적극적으로 검토 및 조치해주시면 감사하겠습니다.",도시안전국 교통과
화물자동차 운송주선사업으로 인해 교통체증과 소음 등으로 인한 주거 환경 악화가 우려되어 조치가 필요합니다. 이에 대한 관심과 불안을 담은 주민의 신고입니다.,도시안전국 교통과
"저는 게임제작업, 게임배급업, 청소년게임제공업, 인터넷컴퓨터게임시설제공업, 복합유통게임제공업, 일반게임제공업 등의 허가, 등록, 신고사항 변경으로 인해 불편을 겪고 있습니다. 이에 따라 저희 지역의 게임산업 발전을 위해 신속한 조치를 취해주시길 바랍니다. 감사합니다.",관광경제국 문화교육과
"저는 '게임제작업, 게임배급업, 청소년게임제공업, 인터넷컴퓨터게임시설제공업, 복합유통게임제공업, 일반게임제공업'의 허가, 등록, 신고사항을 변경하기 위해 문의드립니다. 어떠한 절차가 필요한지 알려주시면 감사하겠습니다.",관광경제국 문화교육과
"안녕하세요. 제가 사는 지역에는 사회복지시설이 부족한 것 같아서, 관련 법에 따라 신고하는 민원을 제출하려고 합니다. 이에 따라 해당 시설의 설치와 운영에 대한 위생 및 안전 확인, 복지시설 대상 집단 및 서비스 제공 등을 철저히 관리해주시길 요청드립니다. 해당 문제에 대한 적극적인 대응과 해결책을 검토해주시기 바랍니다. 감사합니다.",행정복지국 복지정책과
사회복지시설 설치나 운영에 관한 문제가 있어 이에 대한 조치를 취해주시길 요청합니다. 수용 인원 부족이나 시설 낡음 등으로 인한 불편이 발생하고 있으니 빠른 대처 부탁드립니다.,행정복지국 복지정책과
"안녕하세요, 아동복지시설 설치신고 관련하여 민원을 접수하고자 합니다. 주변에 아동복지시설이 부족하여 아이들의 편의와 안전에 부담을 느끼고 있습니다. 따라서, 가능하다면 아동복지시설을 설치해주시면 감사하겠습니다. 처리 결과에 대해서는 따로 안내 부탁드립니다. 감사합니다.",행정복지국 복지정책과
아동복지시설 설치신고 관련해서 신청을 하고자 합니다. 필요한 절차와 지원 가능 여부에 대한 정보를 안내해 주시기 바랍니다. 감사합니다.,행정복지국 복지정책과
"안녕하세요, 대규모점포(준대규모점포) 관리자 변경 신고 관련하여 민원을 접수하고자 합니다. 매장 운영 중 오랜 시간까지 영업하는 점포에 대해 쉬는 시간, 휴일 등을 존중하지 않는 경우가 있어 이에 대한 관리자 변경이 필요하다고 판단됩니다. 이러한 문제로 인해 주민들의 휴식 및 안전 등에 영향을 미치는 것으로 보입니다. 이에 대한 조치를 취해 주시면 감사하겠습니다.",관광경제국 일자리경제과
"저는 xxx동에 거주하는 A라는 주민입니다. 제가 제출하고자 하는 민원은 '대규모점포(준대규모점포) 관리자(변경) 신고'와 관련된 것입니다. 저희 동 내에 있는 xxx점포에서 최근 관리자가 변경되어, 해당 점포의 운영이 원활하지 않다는 것을 지인들로부터 들었습니다. 이에 따라 해당 점포의 관리자 변경 사항에 대해 확인 및 조치하여 주시기를 요청합니다. 감사합니다.",관광경제국 일자리경제과
근처에 직장주택조합이 설립되었다는 소문을 듣고 신속한 확인을 위해 문의드립니다. 해당 조합이 정식으로 설립되었는지 여부와 주거환경 등에 대한 조사를 요청합니다. 처리결과를 알려주시면 감사하겠습니다.,환경건설국 건축주택과
일부 거주민들이 '직장주택조합 설립신고'를 하여 조합을 정상적으로 운영할 수 있게 되었습니다. 이에 따라 주변 주민들의 걱정과 우려가 해소되었으며 지역 사회의 안정적인 발전에 기여될 것으로 기대됩니다.,환경건설국 건축주택과
"이번에 운송개시를 연기하려는 이유는 여객자동차 운송사업을 준비하는 동안 예기치 못한 문제가 발생하여 운송 허가를 제때 준비하지 못했기 때문입니다. 이에 운송개시일을 연기하고자 신청드립니다. 참고로, 연기된 운송개시일은 원래 예정된 날짜로부터 3개월 이내로 설정하겠습니다. 감사합니다.",환경건설국 교통과
