content,dept
무료직업소개사업신고,주민행복국 시장경제과
노동조합 설립(설립신고사항 변경)신고,주민행복국 시장경제과
동물용 의료기기 판매업·임대업 신고,주민행복국 시장경제과
굴착행위변경신고,주민행복국 녹색환경과
노인의료복지시설 폐지·휴지 신고,주민행복국 복지지원과
가정폭력상담소 변경신고,주민행복국 복지지원과
음반·음악영상물배급업 신고,자치행정국 문화관광과
온천이용허가,주민행복국 녹색환경과
가정폭력 상담원 교육훈련시설 변경신고,주민행복국 복지지원과
폐수배출시설 변경허가,주민행복국 녹색환경과
비산먼지시설기준 변경신청,주민행복국 녹색환경과
약국제제·조제실제제 제조품목신고,보건소 보건행정과
도로점용허가 (공작물설치),도시창조국 건설과
어린이집 설치인가 신청,주민행복국 복지지원과
개발행위허가 (토지형질변경·토석채취·공작물설치·토지분할·물건적치),도시창조국 토지정보과
지하수개발·이용허가 유효기간 연장허가,주민행복국 녹색환경과
건설폐기물처리업 허가(변경허가) 신청,주민행복국 녹색환경과
아동복지시설 휴지·폐지·재개 신고,주민행복국 복지지원과
식품관련영업 허가사항 변경허가(신고),주민행복국 위생과
사회복지시설 휴지·재개·폐지 신고,주민행복국 복지지원과
사회복지법인 정관변경인가,주민행복국 행복정책과
수렵면허 변경,주민행복국 녹색환경과
"궤도사업경영, 전용궤도운영 휴지 · 휴지기간변경, 폐지 신고",도시창조국 교통과
사회복지법인 기본재산처분허가,주민행복국 행복정책과
고압가스 제조·판매·저장소설치 변경허가,주민행복국 시장경제과
정신재활시설 폐지·휴지·재개 신고,보건소 건강증진과
건축물 대수선 신고,도시창조국 건축과
액화석유가스의 충전사업(집단공급사업·판매사업·저장소설치) 변경허가,주민행복국 시장경제과
"장애인복지시설 명칭, 시설의 종류, 시설의 장, 소재지, 이용정원 변경신고",주민행복국 복지지원과
가정폭력피해자 보호시설 인가,주민행복국 복지지원과
성폭력피해상담소 설치신고,주민행복국 복지지원과
가스공급시설 공사계획 (변경)승인,주민행복국 시장경제과
공원내 행위허가,도시창조국 건축과
여객자동차터미널사업 상속신고,도시창조국 교통과
노인주거(의료·여가·재가)복지시설 변경신고,주민행복국 복지지원과
가축인공수정사면허,자치행정국 시장경제과
건설폐기물처리업 휴업(폐업·재개업)신고,주민생활국 녹색환경과
법인기본재산처분허가,보건소
지하수개발·이용의 (변경)허가(행위허가),주민행복국 녹색환경과
공유재산매수신청,도시창조국 건축과
국유(공유)재산사용허가,도시건설국 토지정보과
사회복지시설 설치·운영 신고,주민생활국 주민생활과
산지전용(변경)허가,도시건설국 도시재생총괄과
지하수개발·이용 준공신고,자치행정국 민원정보과
이용사 및 미용사 면허발급 신청,자치행정국 민원정보과
노인여가복지시설 폐지·휴지 신고,주민생활국 복지지원과
여객자동차운송사업운송약관(자동차대여사업대여 약관) 신고,도시건설국 교통과
여객자동차운송사업 등록,도시건설국 교통과
"성폭력피해자보호시설(소재지, 명칭, 시설의 장, 입소정원) 변경인가신청",주민생활국 복지지원과
건설업양도신고,자치행정국 시장경제과
자동차 정기점검 연장신청,도시건설국 교통과
가정폭력 상담원 교육훈련시설 신고,주민생활국 복지지원과
여객자동차터미널 위치·규모 등 변경인가,도시건설국 교통과
건축물 용도변경 사용승인 신청,도시건설국 건축과
위생용품제조업 등 영업신고,주민생활국 위생과
화물자동차 운송사업 영업소허가,도시건설국 교통과
(토지형질변경.토석채취·죽목벌채·토지분할·물건적치) 행위허가(신고),도시건설국 토지정보과
전통시장 인정신청,자치행정국 시장경제과
의료기기판매업 변경신고,보건소
지하수개발허가,주민생활국 녹색환경과
의료기기판매업신고,보건소
기계식주차장치보수업 변경신고,도시건설국 교통과
"무료직업소개사업을 이용하고 싶어서 관련된 정보를 얻으려고 합니다. 저는 이에 대해 전문적인 지식이 부족하여, 관련된 문의를 하려고 합니다. 저의 궁금증을 해결해주시면 감사하겠습니다.",주민행복국 시장경제과
저는 '무료직업소개사업신고'를 하기 위해 문의드립니다. 신고 관련 안내와 필요한 서류 등을 알고 싶습니다. 부탁드립니다.,주민행복국 시장경제과
노동조합을 설립하여 신고한 사항에 변경사항이 발생했습니다. 새롭게 변경된 사항에 대해 처리해 주시면 감사하겠습니다.,주민행복국 시장경제과
노동조합 설립(설립신고사항 변경)신고와 관련하여 확인 메일을 받았습니다. 신청서에 필요한 모든 정보를 정확하게 제출하여 승인을 받을 수 있도록 하겠습니다. 감사합니다.,주민행복국 시장경제과
동물용 의료기기 판매업 또는 임대업을 하는 업체가 규제에 따라 신고를 하지 않고 활동하고 있다는 것을 발견했습니다. 이에 대한 조사와 처리를 요청드립니다.,주민행복국 시장경제과
제 동물 친구가 건강상태가 좋지 않아 동물용 의료기기가 필요하게 되었습니다. 이에 따라 동물용 의료기기 판매업 및 임대업을 신청하려 합니다. 신속하고 정확한 처리 부탁드립니다.,주민행복국 시장경제과
"저희 동네에서 새로운 건물 건설 작업이 진행되면서, 굴착행위가 너무 시끄럽고 먼지가 나서 주민들의 불편함이 커지고 있습니다. 그래서 이번에 주민들끼리 협의하여 작업 방식을 변경하기로 했습니다. 변경된 작업 방식에 따라서 굴착행위가 줄어들 것으로 예상되며, 주민들의 편의성이 개선될 것으로 기대하고 있습니다. 이에 따라서 작업 현장에서는 변경된 방식의 굴착행위를 진행해 주시면 감사하겠습니다.",주민행복국 녹색환경과
굴착행위변경신고를 하고자 합니다. 굴착행위가 우리 동네 주택과 건물의 안정성과 안전성에 영향을 끼칠 우려가 있어 신고합니다. 변화된 굴착행위에 대한 조치가 즉시 이루어져야 한다는 요청을 드립니다.,주민행복국 녹색환경과
노인의료복지시설의 폐지와 함께 휴지 신고가 발생하여 이민원을 제기합니다. 이에 대한 조치와 처리 상황에 대한 확인 부탁드립니다. 감사합니다.,주민행복국 복지지원과
노인의료복지시설 폐지와 휴지 신고에 관해 문제가 있어 보고하고자 합니다. 이 문제로 인해 생활 환경 및 건강에 많은 영향이 미치고 있으니 조속한 조치가 필요합니다.,주민행복국 복지지원과
가정폭력상담소 변경신고드립니다. 저희 동네 가정폭력상담소는 몇 차례 찾아보았지만 문을 닫았습니다. 이에 가정폭력 피해자인 제가 다른 상담소를 찾는 것이 불편하므로 변경해주시면 감사하겠습니다. 처리 부탁드립니다.,주민행복국 복지지원과
