content,dept
의료기기영업 휴업·폐업·재개 신고,자치행정국 종합민원과
게임제작(배급)업 등록,복지생활국 위생과
"도서관 등록, 변경등록",자치행정국 교육청소년과
공유수면 점용 사용 허가 신청,도시안전국 건설과
(건축물) 분양신고,도시안전국 건축주택과
건설기계매매업등록,도시안전국 건설과
국유재산사용수익허가(국유재산법적용을 받는 도로·구거·하천·유지·제방 및 그 부속시설에 한함),도시안전국 건설과
고충민원 (공통),도시안전국 건설과
토지거래계약허가,자치행정국 토지정보과
산림경영계획(변경) 인가,도시안전국 도시공원과
건설업 법인합병신고,도시안전국 건설안전과
배출부과금 징수유예 및 분납신청,복지생활국 환경청소과
기계·기구정밀도검사 기간조정신청,도시안전국 교통과
건축물 용도변경 사용승인 신청,도시안전국 건축주택과
"화물자동차 (운송사업 운송약관, 운송주선사업 운송주선약관, 운송가맹사업 운송가맹약관) (신고, 변경신고)",도시안전국 교통과
공유재산대부계약갱신,도시안전국 건설안전과
골재채취업 양도·양수신고,도시안전국 건설안전과
농지전용 용도변경 승인,도시안전국 도시재생과
가정폭력 상담소(보호시설·교육훈련시설) 폐지(휴지·운영재개)신고,복지생활국 사회복지과
산지전용기간 연장허가,도시안전국 도시재생과
체육시설업등록,자치행정국 종합민원과
국유(공유)재산사용허가,도시안전국 도시재생과
산지복구준공검사 신청,도시안전국 도시재생과
옥외광고물 등의 표시허가(신고),도시안전국 건설안전과
공공하수도 공사(변경·유지·폐지) 허가,도시안전국 건설안전과
기계식주차장치보수업 변경신고,도시안전국 교통과
공장설립 (변경)승인,복지생활국 경제과
중소기업협동조합 정관변경 인가,자치행정국 총무과
공작물축조 신고,도시안전국 건축주택과
산후조리업 (변경)신고,보건소 보건과
대기배출(방지)시설 가동개시일 변경신청,주민생활지원국 환경관리과
"장애인복지시설 명칭, 시설의 종류, 시설의 장, 소재지, 이용정원 변경신고",주민생활지원국 복지사업과
가축인공수정사면허,주민생활지원국 경제과
건설폐기물처리업 휴업(폐업·재개업)신고,주민생활지원국 환경관리과
건설기계정비업등록,도시국 건설방재과
도시가스사업자 가스종류등의 변경허가,주민생활지원국 경제과
재가노인복지시설 비용수납신고,주민생활지원국 복지사업과
