content,dept
달성 공원 새벽시장 근처 환경개선이 시급합니다 달성 파크푸르지오 힐스테이트 입주 예정자입니다 갈 때마다 새벽시장으로 인한 악취 및 쓰레기나 불법 정차 등으로 불편함이 너무 많고 도시미관이 훼손되고 있습니다 역사적인 문화재 및 유서 깊은 도시가 너무 방치되고 있는 것 자체가 중구 및 대구시의 손실입니다 문제는 아직까지 개선이 되지 않고 있고 개선의 의지도 많이 보이지 않습니다 근본적인 대책 및 앞으로 향후 계획이 알고 싶습니다,도시안전국 건설과
아파트 건설 현장 주변 아파트 피해 민원 아파트 건설 현장에서 발생하는 소음 먼지 불법주차 등의 안전 위협에 관한 민원도 온 힐스테이트와 달성 공원 힐스테이트 건설 현장은 소음과 먼지 그리고 빛 공해 등 지역주민의 건강과 안전에 큰 피해를 주고 있습니다 안녕하세요 태평로에 있는 대구역 경남 센트로팰리스 입주자입니다 위 현장들이 야기하는 지역주민들의 피해에 관련하여 민원을 신청합니다 담당 공무원께서는 부디 강력한 대책이나 제재를 해 주시기 바랍니다 건축 현장에서 소음이 나는 것은 당연합니다 하지만 그것도 허용할 수 있는 범위일 때 수긍할 수 있습니다 위 현장들은 새벽 아침 밤낮을 가리지 않고 큰 소음과 먼지를 내고 있으나 자신들이 자체적으로 측정한 신뢰도가 없는 자료를 바탕으로 문제가 없다고 주장하고 있습니다 더 황당한 사실은 민원이 도대체 어떻게 작용했는지 모르겠으나 돌아오는 답변이 가히 지역주민을 바보로 취급하고 있다고 생각할 수밖에 없습니다 이른 아침 시간에 공사를 줄이겠다 하게 타당한 답변인가요 건설 현장의 공사 기간은 그 기일이 정해져 있고 저 시간에 작업을 줄이면 다른 시간에 채워야 할 텐데 이거야말로 조삼모사라고 생각할 수밖에 없습니다 지역주민이 아침에 출근하는 직장인만 있나요 임산부부터 건강이 안 좋은 환자분들 그리고 근로 시간이 일정하지 않은 프리랜서 또는 자영업자들은 피해 구제 대상이 아닌가요 그리고 소음만이 문제가 아닙니다 위 현장에서 발생하는 미세먼지와 빛 공해는 어떻게 관리하고 있으며 측정은 도대체 어떻게 하고 있는지 정말 궁금합니다 부엌에서 달걀 프라이만 조리해도 공기청정기가 미세먼지를 감지하여 터질 듯이 작동하는데 각종 비산먼지화 화학약품의 집합체인 건설 현장에서 미세먼지가 없다고 주장하는 게 어디 외계 기술이라도 도입한 건지 되묻고 싶습니다 또한 현장에서 열심히 일하시는 근로자분들을 탓하고 싶은 생각은 없지만 사업 주체가 방관하고 있는 불법주차들로 인하여 차량의 정상적인 통행을 방해하고 이것은 심각한 안전 위협으로 돌아옵니다 실제로 저희 아이들은 매일 심각한 안전 위험에 노출되어 있으며 적재량을 지켰는지도 모르는 굉음을 내는 화물차들 때문에 지나가다가 낙하물을 받고 상해를 입지 않을까 조마조마하며 살고 있습니다 건설사의 수익보다 시민들의 안전과 건강을 위해 힘써 주시기를 바랍니다,도시안전국 건축주택과
건들 바위 역 번 출구 인근 교차로 볼록 렌즈 교체 요청 대구광역시 중구 명덕로 길 인근 교차로 볼록 렌즈가 파손되었습니다 볼록렌즈를 통해 좌우를 확인할 수 없어 위험하오니 파손된 렌즈를 교체 수리 요청드립니다붙임 위치 사진 매 현장 사진 매 끝,도시안전국 교통과
경북대학교병원 응급실 앞 노상주차장 이용 연월일까지 경북대학교병원 응급실 앞 수산 교회 옆 노상 공영주차장을 이용한 차주입니다 오전 경 차를 주차를 특별한 일 없이 주차를 하였고 경 출차를 위하여 주차관리요원에게 주차비용을 계산하려 했습니다 주차요원은 제가 차 주인 걸 아시고는 첫마디가 주차를 이렇게 하시면 어떡해요였습니다 저는 제가 주차를 잘못했나 싶어 보니 차는 주차라인에 잘 주차되었고 통행에 방해가 된다거나 제가 주차장 이용에 있어서 불편을 줄 만한 행동을 하지 않았습니다 그래서 주차요원 분께 제가 뭘 잘못했나요 여쭤보니 주처할 수 있는 칸수도 많지 않은데 이렇게 장시간 주차를 하면 본인들의 수익이 적으니까 장시간 주차를 할 거면 다른 곳에 주차를 하라는 거였습니다 참 듣고 어이가 없어서 대화를 더 하다간 감정이 격해질 거 같아 요금을 계산 후 자리를 회피하였습니다 그분은 끝까지 다른 곳에 주차하라고 하시더군요 공영주차장은 누구나 이용할 수 있는 주차장이 아닌가요 제가 불법 주차를 한 것도 아니고 이런 소리까지 들어야 하나 싶습니다 구청에서 조금 더 신경을 써 주셔서 관리하시는 요원들에게 지침이나 교육을 해 주셨으면 좋겠습니다,도시안전국 교통과
봉산문화길 인도 공사 첨부한 동영상 보시면 아시겠지만 저희 가게 문 앞을 다 막아서 손님들이 몇 시간 동안 출입 자체를 못하게 했습니다 사전 통보도 없었고 임시로라도 출입할 수 있게 보행환경도 만들어 놓지 않고 마음대로 공사를 하고 있었습니다 덕분에 오후에 손님 한 팀도 못 받았습니다 저에게 월급 받는 직원 명이 손님이 오지 않아 아무것도 안 하고 그냥 서서 몇 시간 동안 있었습니다 이거는 명백한 영업방해입니다 제가 오후 늦게 갔을 때에는 돌들이 앞에 널브러져 있었고 가게 앞에 인부들이 쓰는 장비들이 여기저기 내팽개쳐 있더군요 화가 너무 나서 현장소장에게 길을 만들어 놓고 해야 되지 않나 뭐 라 했더니 오히려 현장소장이 저에게 길이 여기 잇네라면 서 화를 냈습니다 제가 본 피해는 어디다가 보상을 받아야 합니까 현장소장이 저에게 오히려 화를 내는 건 도대체 무슨 경우입니까,도시안전국 건설과
대구시청 근처 하수로 냄새 좋다 아주 좋아요 메탄가스 건강에도 좋은 건 널리 알려진 사실 이런 좋은 건 저만 즐기기 미안해서 문의드립니다 시 청 앞 주차장 근처 주택가에서 매일 하수 냄새가 심한데 이유라도 알 수 있을까요 어느 날은 그냥 정화조 앞에서 심호흡하는 느낌이네요 사실 인지한지 년이 넘었지만 처음 민원 하러 청사 방문하니 담당자분이 안 계셔서 분 대기하다 포기했고 그 후 코로나 개선 바라지 도 않고 이유나 알고 싶어요 오래되고 노인네들 원룸 지역이라 신경 안 쓰는 거 압니다 현재 현대건설 공가 현장 앞 구 주택가 주변입니다 근데 등록시간 분 제한 이유는 뭔 뭔가요,도시안전국 건설과
서문시장지구 앞 버스 번호판 팻말 월일 오후 버스정류소 앞 팻말 팻말 번호 서문시장지구 쪽 팻말 번호 안내판이 사람 머리보다 낮은 위치에 있어요 서문시장 갔다 이마와 머리 부딪혔어요 번호판이 어떻게 저렇게 설치할 수 있는지 이해가 안 갑니다 좁은 길인에 머리 위치보다 낮게 그리고 보행자 쪽으로 티어 나오고 좁은 길에서 앞에서 담배 피우는 남자 피하려다 사고가 났네요 멍이 이마로 내려오기 시작 출근하기가 두렵습니다 빠른 시일 내 차 사고 나지 않게 처리 부탁합니다,도시안전국 교통과
신호 대기 중에도 주차단속 구미에 살고 있는 살 직장인입니다 대구에 수도 없이 많이 가는데 어제 서문시장 방문을 위해 대구를 갔는데 주차장에 주차 후 문자가 와 있길래 보니 주차금지 장소에 주차가 되었습니다 즉시 이동 바랍니다 중구청이라고 와 있더라고요 구미 출발 서문시장 주차장까지 한 번도 정차한 적이 없었으며 신호 대기 중은 당연히 있었지요 근데 먼 주차단속이요 아대 구는 이런 식으로도 단속합니까 블랙박스 들고 구청 찾아가서 난리 치기 전에 뭐 같은 주차단속 범위나 제대로 잡으이소 빡 대가리인가 어찌 신호대 기하는 곳에 저딴 걸 달아서 문자 오게 만드는 건 전국 중에 대구 중구청이 유일한 듯요 진짜 어이가 없어서 옆 사람이랑 겁나 웃으면서 도 기분이 더럽더이다 증거 필요하면 내일 오전에라도 당장 가서 볼 박영상 보여 줄 테니 기름값 토로 비만 주유소이건 진짜 고쳐야지 미친 중구청 같으니라고 이딴 식으로 세금 걷을라고 차 많이 밀려서 신호 두 번 받음 딱지 끊겠네요,도시안전국 교통과
청라언덕 역 지하철 호선 다리 아래 흡연 너무 심합니다 지하철 청라언덕 역 호선 번 출구 다리 아래 지나갈 때마다 흡연 너무 심각합니다 주변 상가 이용에도 불편이 너무 많습니다 단속을 하던지 조치를 취해 주세요 그리고 주변 아파트 공사 소음이 너무 심합니다,보건소 보건과
달성 공원 앞 도로변 새벽시장 안녕하세요 수고 많으십니다 아래 내용 및 기타 운영사항에 문의드립니다 달성 공원 앞 도로 새벽시장 운영 건달성 파크 푸르지오 힐스테이트 입주 예정자입니다 현재 운영 중인 시장 신설 도로포장에 많이 더럽히고 있습니다 생선 이 녹은 물 바닥에 흘리고 섞은 냄새 악취가 심합니다쓰레기 여기저기 흩혀져 있습니다 현장 답사 필요합니다 지저분하게 운영하고 있어 아파트 입주 시 많은 불편을 줄 것이 며 향후 어떻게 되는지 문의드립니다,도시안전국 건설과
