content,dept
매번 수거하시는 분 들만 수고하시네요 동일고충민원여부동일고충민원여부 선행 민원번호 선행 민원 상세조회,읍/면/동사무소
비대면 처방전 거부한 약국 있습니다 아이가 콧물감기로 아프기 시작해서 비대면 처방을 받아서 동네약국에서 약을 받아서 먹였으나 열이 나기 시작하고 다시 처방전을 받았으나 약을 살 곳이 없어서 약을 구하지 못하고 오늘 아침 이비인후과를 방문 치료하고 처방전을 받으려고 했으나 처방전이 이미 일치가 나와 있는 상황이라 중복처방이 되지 않아서 이미 받아 놓은 비대면 처방전을 들고 동네 소아과 병원 밑에 있는 약국으로 갔습니다 그런데 약이 다 있고 대체약까지 확인 후 처방전을 보낼 팩스 번호를 알려 달라 하니 약사가 나와서 원본을 가져오셔야 한다며 약 조제를 거부했습니다 원장님이 지침을 원본으로 받으라고 했다면서 사정을 해도 소용이 없었습니다 저희 아이는 학교도 가지 못하고 이 약국 저 약국 돌다 가시 간만 흘려보내고 약도 먹지 못하고 학교로 갔습니다 왜 국가에서 한시적으로 시행하고 지정해 놓은 비대면 처방전이 이렇게 거부당해야 합니까 국민은 병원의 처방전에 따른 약을 약국으로부터 조제 받아 복용할 권리가 있습니다 약을 조제할 의무를 저버린 약국을 고발하고자 합니다,보건소 보건행정과
전봇대 어째 좀 안 됩니까 가 설치되어도 무단 투기가 개선되지 않는 건 전봇대가 원인입니다 폐기물 포대가 정리하려 해도 너무 무거워요 어째 좀 안 됩니까,읍/면/동사무소
평리 구역서 대구 영무예다음 부실시공 등 시공사 소극적 조치에 대한 민원 우리 서구의 발전의 발전을 위해 노력해 주시는 구청장님 이하 모든 공무원 여러분께 감사 말씀 드립니다 다름이 아니오라 평리 구역 서대구 영무예다음 아파트가 부분 준공되어 지난달 입주가 시작되었습니다 하지만 준공허가를 받은 아파트라고는 시공현장 상태는 아주 형편없습니다 준 공허 가를 받기 위해 졸속으로 행정처리가 이뤄진 게 아닌가 의심스럽습니다 사전점검 때 제기된 하자는 조치를 취하지 않은 체 종결 처리를 하거나 버젓이 하자 임에도 하자가 아니라고 주장 등 관련 조치에 소극적입니다 방 화문이 아예 설치가 되지 않은 세대도 있습니다 특히 이미 여러 차례 민원으로 제기되었던 평리 구역과 구역 사이의 옹벽 도로 단차에 대한 현장 조치에 대한 우려는 현실이 되었습니다 오늘 벽체 일부가 바람에 떨어져 아슬아슬하게 걸려져 있었습니다 이를 입주민들이 발견하여 현장 조치를 강력하게 요구하였습니다 곧 여름이라 더 걱정됩니다 누구 하나 크게 다쳐 방송을 타야 해결될는지 요 해당 아파트는 입주한 지 보름도 되지 않았습니다 세대 내는 물론 단지 곳곳에 문제가 산적한데 어떻게 이런 아파트가 준공처리가 될 수 있는지 서구청 관계자분들에게 묻지 않을 수 없음너 다시 공사인 영무 토건에서 적극적인 하자 조치와 적절한 대응으로 입주민들의 걱정과 우려가 해소될 수 있도록 서구청에서도 적극적 조치 바랍니다,도시안전국 건축주택과
여름철 대비 비산동에 사는 주민입니다 공무에 힘쓰시느라 수고가 많으십니다 비산동이 주택들이 노후되고 환경이 열악하다 보니 벌써부터 파리 모기들이 보입니다 날씨가 더 따뜻해지면 모기들이 극성일 텐데 미리 방역이 필요할 듯합니다 하수구 유충들이나 지저분한 곳들에 미리 방역을 실시하여 파리나 모기 등 박멸하여 깨끗한 동네 환경 만들어 주시기를 부탁드립니다,보건소 보건행정과
구청장님 앱 전동 킥보드 자전거 인도 및 도로에 위험 존재입니다 안녕하세요 대구 서구에 살고 있는 시민입니다 다름이 아니라 너무 불편 하서 참다 참다 이렇게 민원을 올립니다 처음에는 편하게 이용하라고 전동 킥보드와 자전거를 앱으로 이용을 할 수 있게 했지만 지금은 도로 및 인도에 위험을 주는 애플이 되었습니다 어린 중고등학생들 또는 초등학생들까지 이용을 하는 경우가 많은데 용미리 대구에 폭주족을 양성하는 건가요 도로 또는 인도에서 위험 첨만 한 행동까지 이렇게 시민들을 위험을 행하는 앱에서는 돈만 벌고 거기에 불편함은 전부 엄한 시민들 입니다 이렇게 위험천만한 앱 자전거와 전동 킥보드 그냥 보고 만 있으실 건가요 구청장님 대구 전체는 힘들어도 서구만큼은 어린아이들에 안전을 생각해 주세요,도시안전국 교통과
당산목 공원에 벤치 외관상 보기가 안 좋아서 개 발을 수리해서 사용했으면 좋겠습니 안녕하세요 당산목 공원에 벤치의 자가 개중 개는 오랫동안 방치가 되어 외관상 보기가 안 좋아서 개 발을 수리해서 사용하려고 합니다 담당하시는 분을 소개해 주셔도 감사합니다 공원에 오래 방치된 자전거를 수거해 가세요 사진을 보냅니다,도시안전국 도시공원과
무침회 골목 앞 안녕하세요 다름 아니라 무침회 골목에서 서대구 시장 방향 농협 앞으로 나가려고 하면 옆에 조형물도 있고 해서 차들이 나가기가 힘듭니다 안 보여서 사고도 나는 거 같고 거울이 있긴 한데 방향이 엉뚱한 데로 향해 있어서 조치를 좀 취해 주세요 차 가 지나가기가 힘들어요 옆에 차가 오는지 안 오는지 안 보여서 요 빠른 조치를 부탁드립니다,도시안전국 교통과
집 앞에 폐기물 안 치우네요 집 앞 전봇대 앞에 누가 매트 버려 놓고 갔네요 한 달이 다 되어 가는데 치우지 도 않고 냄새남니다,복지생활국 환경청소과
신호등 앞 노점 사과 판매 단속 부탁드립니다 안녕하세요 평리동으로 출퇴근하는 직장인입니다 다름이 아니라 신호등 앞에서 사과를 매주 불법으로 판매하고 계시는 아저씨분이 계셔서 민원 드립니다 매일 같은 길을 출퇴근하는데 너무 위험하게 신호등 앞에서 판매를 하고 계시고 골목에서 차가 나오면 바로 우회전할 수 있는 곳인데 주차되어 있는 차 뒤편에서 팔고 계셔서 지나갈 때마다 너무 놀랍니다 그리고 지나가실 때마다 계속 사라고 소리도 지르시고 인도랑 신호등 앞에서 판매하고 있는 건 불법 아닌가요 써브웨이 평리점이랑 사리원 그 골목 앞 신호등에서 판매를 계속하십니다 저번에 써브웨이에서 샌드위치 사 먹고 나가는 길 신호등 앞에서 해당 매장 담당자가 가서 여기서 판매하시면 안 된다고 계속 판매하시면 신고할 수밖에 없다고 아저씨한테 가서 말씀하시는 거 들었습니다 그렇게 말하니 아저씨가 써브웨이 땅에서만 판매 안 하면 되지 않냐면서 신호등까지 가로막으면서 판매를 하시는데 그 모습을 보고 경악할 수가 없습니다 이렇게까지 사람들에게 피해를 주시면서 불법으로 노점 장사하는 건 아니라 봅니다 오늘도 지나가면서 신호등 앞에서 판매하는 거 보고 민원 넣습니다 써브웨이 평리점과 그 옆 사리원 길에 있는 작은 신호등 앞에서 파십니다 오늘 나와 계시니 확인해 보시고 조치 부탁드립니다 지나가기 너무 불편한데 계속 판매하는 거 보이시면 계속 민원 넣겠습니다,도시안전국 도시재생과
좁은 인도 때문에 넘어질 뻔했습니다 인도가 좁고 조차도 가 함께 있어 노인네들은 다니기 더욱 힘들어졌습니다 예전에는 옆에 땅이 평탄화되어 있어 다니기 쉬었는데 경계석 이 발에 걸리고 밤에는 위엄합니다 경계석을 치워 주세요,도시안전국 도시공원과
