content,dept
다사 금호 어울림 옥외등 다사 금호어울림 아파트 옥외등 불빛이 너무 많이 밝습니다맞은편에 사는 이편한 세상 주민들은 밤새 켜져있는 불 때문에 잠을 잘수가 없습니다시 이후로는 소등을 해주세요 ,건설도시국 건축과
미진이지비아 옆 옹벽 데크경사로 오토바이진입금지 팻말설치요청 안녕하세요미진이지비아 입주민입니다며칠 전 산책 가는중에 배달 오토바이가 이지비아 도로 옆 옹벽에 설치된 데크경사로를 질주해서 위험천만 깜짝 놀랐습니다옹벽 데크경사로 윗쪽에는 사진처럼 좀 튼튼한 오토바이자전거 진입금지 팻말이 부착되어 있습니다만 옹벽 아래쪽 데크진입구에는 오래전에용지에 인쇄후 비닐 코팅해서 붙여놓은 부실한 오토바이 진입금지 안내 표시판이 비바람에 젖고 찢겨져 떨어져 나가고 지금은 아예 없습니다데크경사로 위쪽사진과 동일한 좀 튼튼한 오토바이 진입금지 팻말을 설치 해주실것을 꼭 부탁드립니다배달오토바이가 다니면 보행자들의 안전상에도 위험하며 나무데크 파손 우려 또한 되오니 조속히 튼튼한 오토바이 진입금지 팻말 설치가 필요합니다 ,건설도시국 안전총괄과
이정표 전도 이정표 전도부목 ,문화관광국 공원녹지과
인도블럭에 무성한 잡초 및 땅으로 뻗어있는 가로수 가지등을 정비해 주실것을 요청 위치  대구 달성군 구지면 달성차동로 구지면 달성차동로  구역의 인도블럭에 무성한 잡초 및 땅으로 뻗어있는 가로수 가지등을 정비해 주실것을 요청드립니다점심시간이면 인근 공장의 근로자들이 걷기운동으로 다니는 곳입니다그런데 인도블럭에 무성한 잡초와 가로수 가지 때문에 인도를 이용하지 못하고 차도를 이용하는 실정입니다공장지대라 대형화물차들이 자주 다니는 곳이기에 오고가는 근로자들이 위험하여 시급히 인도블럭 정비가 필요하여 이렇게 요청드립니다 ,건설도시국 건설과
구지 국가산단 길 주차장소 교통장애 국지국가 산단 길 길 교차로 부근 인도 통행로 주차와길 교차로에서 서쪽방향으로 통행시 맞은편에 자동차와 중앙선을 침범하며 통행하므로 편도 차선 주차금지 요망합니다대부분 엘엔에프 회사의 자동차로 주차장이 있음에도 불구하고 불법주차로 교통장애를 발생합니다 ,경제환경국 교통과
달성군 논공읍 북리 남리 달성차 산업단지 공공도서관 설립요청드립니다 달성군에서 소외되어 있지만인구가 상당히 많은논공읍 북리 남리에 공공도서관 설립 요청드립니다지역에 사는 젊은 학생들이 상상 이상으로 많이 거주하고 있습니다자라나는 아이들이 이용할 수 있는 도서관이하나쯤 있었음 합니다지역에 공단에서도 많은 도움을 줄수 있을것입니다좋은 취지로도서관을 설립해주세요북리쪽에 공터도 많이 있고 자라나는 아이들이 꿈을 꾸며한단계 성장할 수 있는데 도움을 주십시요요청드립니다,교육복지국 교육정책과
투명유리벽 수리 구지에 삽니다제가 주로 이용하는 버스정류장이 국가산단이다음역입니다그곳을 보면 서한아파트부터 디에트르 아파트까지 투명한 벽이 설치되어 있는데 그곳에 새들이 부딪쳐서 죽는 사고가 아주 빈번히 일어납니다제가 보는 일부 구간에서만 해도 일주일에 한번은 죽은새들을 보는것같습니다투명벽에 스티커나 변화를 주어 새들이 부딪쳐 죽는일이 없으면 합니다 ,건설도시국 건설과
다사 금호 어울림 전기차 충전기사용 못하게합니다 이번에 다사금호어울림 입주한 입주민입니다저는 전기차를 운용중에 있으며 필히 전기차를 충전해야하는 상황입니다충전하려고 보니 충전기회사가 코스텔이라는 회사더라고요코스텔 회사는 충전요금을 입주민카드로 요금은 아파트 관리비로 나가는 방식입니다그래서 관리소장한테 차를 충전해야하니 카드를 만들어 달라 했더니아직 충전기를 가동할수없다고 합니다입주민 과반수이상이 들어와야 가동을 시킬수있다고 하네요근처에 공용충전시설도 없습니다그럼 전기차 타는사람들은 어디서 충전해야 되나요충전기 사용할수있게 부탁드립니다 제발요,경제환경국 환경과
버스 승강장 원상복구 요청 다사역 번출구 버스 승강장 원상복구요청금호어울림 아파트 공사로 폐지된 승강장을 원래되로 설치요망승강장 표지판도 이리저리 내 핑개처 있어요 ,경제환경국 교통과
대형트럭이 오가는 도로 뿐이라 한울안중학교 아이들과 동네어른들이 오가는 길이 위험해요 한울안중학교 학생 학부모입니다아침엔 등교 스쿨버스가 있지만 하교 때는 방과 후 등의 이유로 아이들 하교 시간이 제각각이라 스쿨버스가 없어요아이들이 집으로 가기 위해 시내버스를 타러 큰길까지 이동을 해야 하는데이 길이 몹시 위험해요아이들은 하교 후 좁은 차선 도로를 걸어 다니고요오가는 자동차가 속도를 줄여 피해가긴 해요저녁 방과후까지 마치고 시에 집으로 가게 되는 지금은 낡이 밝아 아이들이 보이지만가을이 되면 해가 빨리 저물어서 위험해요아이들이 인도가 없는 차도를 걸어 큰길로 나가서 시내버스틀 탈 수밖에 없는 환경이에요현풍 지동길 내 있는 업체 특성상 공장이 많아 대형트럭이 자주 오가는 길인데 용흥지 주변으로 인도가 없어요그래서 더더욱 위험해요용흥지 가드레일을 보면 산책로를 만들려고 했었는지 정비를 하다 만 길이 있어요용흥지 가드레일 안쪽 테두리 부분으로 풀이 정비되어 있어 동네 어른이 가끔 걸어 다니시던데 무척 위험해 보여요살짝 잘 못 디디면 용흥지 못 안으로 굴러 떨어질 수 있거든요용흥지 못을 따라 가드레일 옆으로 산책길을 만들려던 계획이면 빠르게 만들어주세요실버차를 밀어가며 도로 귀퉁이를 걸어서 동네 어른들이 아침에 모이는 장소로 가시는 모습이 불안해 보여요현풍곽씨집이장려각 앞 벤치에 아침이면 삼삼오오 어르신들이 모여 계시는데동네 분들 아침 마실 가는 길이 불편하지 않게 되길 바라고아이들이 학교를 마치고 시내버스 타러 가는 길목이 안전해지면 기쁘겠어요빠른 조처를 취해주시면 감사하겠습니다 ,건설도시국 건설과
가로등 전등 조치 요망 현풍읍 국가산단북로  길 집앞 가로등이 며칠째 켜지지 않아 주변이 어두워 불편한 상황입니다빠른 조치 부탁드립니다또한 아진제지로 들어오는 입구 부터 신기리 마을 까지 진입로 간 전등이 다른 전등보다 약한 편인데다 전등 주변의 나무들을 전정을 하지않아 나무가지에 전등이 가려져 전등 효과가 개인적으로는 미흡하다고 생각됩니다가로등의 전등 밝기가 정상적이라면 전등 주변의 나무 전정을 통해서라도 마을길로 진입하는 중의 도로 상황이 환하게 비춰지면 좋겠다는생각입니다 담당자께서는 한번 확인하시고 조치해 주시면 감사하겠습니다,건설도시국 도시정비과
인도 경계석 개선 요구 안녕하세요유가읍 비슬 인도 경계석 개선 요청합니다대상 비슬사거리 테크노폴리스 단지 아파트에서 남해오네트 차방면 인도 경계석이유 사람이 건널 수 있는 횡단보도 옆 자전거 횡단 보도가 설치 되어 있으며도로교통법제조의자전거횡단도의 설치 등 항에 따라 자전거 횡단보도는녹색 신호등일때 자전거를 타고 횡단을 해도 됩니다그런데 위 개선요구 장소에는 인도 경계석이 자전거 횡단도를 막고 있어 자전거를 타고지나갈 수 없으며 좌측 보행자 횡단보도를 타고 가면 법 위반사항이 발생하고 우측으로지나가면 우회전하는 차량이 정지선을 넘어 가로등 앞에 정지하기 때문에 접촉사고라도 나면이 또한 도로교통법의 보호를 받을 수 없게 됨 ,건설도시국 건설과
진천천 야외 농구장 업그레이이드 요청 림그물조명펜스 동일고충민원여부동일고충민원여부  선행민원번호   선행민원상세조회,읍/면/동사무소
서재리 농지구역 북측농로 방범등 설치요망 민원에 대한 결과가 궁금합니다 동일고충민원여부동일고충민원여부  선행민원번호   선행민원상세조회,건설도시국 도시정비과
의약품 안녕 하십니까 토요일날일 옥포 벛꽃 축제 구경가보니 사람들이 많이 있어 보기도 좋고 간만에 꽃도 많이보니 힐링이 데더군요 있는건 다있는데 축제장에 의약품 판매하는곳은 없어 아십더군요 만약에 급하게 다치거나 아플때 해열제 구하기가아주 힘듭니다 만약에누군가 다치면응급조치를할수있고요특히 현풍한정여기도가보니까없습니다 신경좀 써주세요,읍/면/동사무소
달성군 금포리 비슬로 길 쓰레기 무단투기 안녕하세요대구 달성군청 민원과로 연락넣은 이유는 다름이 아니고비슬로 길 옆 둑방길 무단 쓰레기 투기가 날이 갈 수록 심해져서미관상 안전상의 문제가 우려되어 민원을 넣습니다비슬로 길 둑방길의 쓰레기 무단투기는 예전부터 줄곧 있었던 일입니다시골 길이고 동네 어르신들이나 지나가는 트럭 인부들의 무단 투기로페트병 하나 음식물 쓰레기 조금 정도에 지나지 않아 동네 분들이 치우시거나봄이 오는 겨울 즈음 환경과에서 벌초 작업을 해줄 때 청소과에서 치워주시거나 하셨어요그런데 이번 해에는 벌초 작업도 없었고 년 전 즈음에 군청에서 둑방길을 차와 자전거가다니기 좋게 포장을 해주시고 난 후 지나가는 통행 차량과 사람이 많아지니 쓰레기 무단 투기가기승을 부리고 있습니다 작게는 담배 꽁초와 먹다 남은 페트병부터 크게는 소주 병과비닐에 담긴 음식물 쓰레기 김장 쓰레기 등 보는 이의 눈살을 찌푸리게 만드는 수준으로 커졌습니다오늘도 둑방 길 산책 중에 발견한 쓰레기는 종이 박스에 고기와 술을 취식 후부탄 가스와 소주 통 쌈장 통 등 당연히 가지고 돌아가야 할 쓰레기를 보란 듯 길가에 버리고 갔습니다강을 지나 건너 길 비슬로 길의 벚꽃이 만발하여 둑방길을 이용하는 시민들이 많아지는데제대로 된 쓰레기통 하나 없이 무단 투기만 늘어가고 있어서 이렇게 민원과에 신고를 넣습니다버리는 사람 치우는 사람 따로 없이 시민 의식이 높아질 수 있는 환경을 만들어주시면 감사하겠습니다,읍/면/동사무소
다사 죽곡협성휴포레 정문앞 배수지 산책로 계단설치요청 안녕하십니까 죽곡 협성휴포레 정문앞쪽 배수지주변을 인근 주민 산책로나 등산로로 많이 이용하고 있습니다배수지까지 올라가는 길이 비온후에는 진흙이고 맑은날에는 미끄러워서 어르신들이나 아이들이 내려올때 가끔 미끄러지시기도 합니다 법적으로 문제가 없으시면 간단한 목계단이라도 만들어 주시면 감사하겠습니다 ,문화관광국 공원녹지과
논공읍 노이리 에덴동산 요양원의 산림훼손답변의 보충 질의서 군 청사의 업무에 항상된 발전을 기원합니다논공읍 노이리 에텐동산요양원의 산에서 대지로 전환된 부분은 준공처리되여진입로기준으로 사용허가된것은 인지합니다그러나 산부지는 자연녹지의 상태로 유지된 부분인데담당자의 답변 내용에 따른 산지전용허가로 산림을 헤손한것이 정당한것이라면 산지전용 허가된 서류를첨부하여 공개하시고 산의 병원부지 조성에 따른 개발행위로 진입로 포장및 옹벽 구조물이설치된것이라면 건축허가서및 그에 따른 개발행위 허가서류를 첨부하여민원인의 요청사항을 해소시켜야 담당자의 신뢰있는 답변이된다고 생각 합니다군수님의 군민이 빛나는 달성이 에덴동산 사회복지재단의 단체로해서 개인의 민원이 뭍혀지지 않았으면 합니다담당자님의 성실한 업무 능력을 바램합니다,자치행정국 종합민원과
금계산 아래 작은 계곡에 토지가 유실되고 계곡 쪽으로 내려가기 힘듭니다 지역발전을 위해 노고가 많으십니다다름이 아니라 년도에 조그마한 계곡에 사방댐 조성공사를 하면서 계곡에 있는 크고 작은 바위들을 다 치워 버려서 비가 오면 계곡물이 빠른 속도로 내려가 계곡이 참 위험합니다 자 모양으로 계곡의 물이 만나는 지점에는 많은 물이 만나서 흙이 씻겨 내려가 토지가 계속 유실되고 있으니 대책을 마련해 주십시오공사 전에는 계곡 아래로 내려가려면 위치에 상관없이 여기저기에서 계곡으로 내려갈 수 있었는데 지금은 단 한 곳 밖에 내려가지 못 하도록 되어있고 그나마 경사가 심해서 내려가다가 여러 번 뒹굴고 넘어져서 다친 적이 있고 건너편 쪽 밭에 가려는 분들도 그 계곡을 지나야 하니 위험하기도 하고 매우 불편합니다당시 공사할 때 일하시는 책임자께 경사가 심하다고 이야기했으나 나중에 다리를 놓으면 좋겠다고 해서 지금껏 있었습니다 그러니 지금처럼 계곡에 급경사가 아닌 내려가는 계단이나 다리 농기계가 다닐 수 있는 길을 만들어 주십시오모쪼록 현장 답사하셔서 조치를 취해 주셨으면 감사하겠습니다장소는 논공읍 노이리 산 일대 ,문화관광국 공원녹지과
