content,dept
다사 금호 어울림 옥외등 다사 금호어울림 아파트 옥외등 불빛이 너무 많이 밝습니다 맞은편에 사는 이 편한 세상 주민들은 밤새 켜져 있는 불 때문에 잠을 잘 수가 없습니다 시 이후로는 소등을 해 주세요,건설도시국 건축과
미진이 리비아 옆 옹벽 데 큰 경사로 오토바이 진입금지 팻말 설치 요청 안녕하세요 미진이 리비아 입주민입니다 며칠 전 산책 가는 중에 배달 오토바이가 이지비아 도로 옆 옹벽에 설치된 데 큰 경사로를 질주해서 위험천만 깜짝 놀랐습니다 옹벽 데 큰 경사로 위쪽에는 사진처럼 좀 튼튼한 오토바이 자전거 진입금지 팻말이 부착되어 있습니다만 옹벽 아래쪽 덱 진입구에는 오래전에 용지에 인쇄 후 비닐 코팅해서 붙여 놓은 부실한 오토바이 진입금지 안내 표시판이 비바람에 젖고 찢어져 떨어져 나가고 지금은 아예 없습니다 덱 경사로 위쪽 사진과 동일한 좀 튼튼한 오토바이 진입은지 팻말을 설치해 주실 것을 꼭 부탁드립니다 배달 오토바이가 다니면 보행자들의 안전상에도 위험하며 나무데크 파손 우려 또한 되오니 조속히 튼튼한 오토바이 진입금지 팻말 설치가 필요합니다,건설도시국 안전총괄과
이정표 전도 이정표 전도 부목,문화관광국 공원녹지과
인도블록에 무성한 잡초 및 땅으로 뻗어 있는 가로수 가지 등을 정비해 주실 것을 요청 위치 대구 달성군 구지면 달성 차 동로 구지면 달성 차 동로 구역의 인도블록에 무성한 잡초 및 땅으로 뻗어 있는 가로수 가지 등을 정비해 주실 것을 요청드립니다 점심시간이면 인근 공장의 근로자들이 걷기 운동으로 다니는 곳입니다 그런데 인도블록에 무성한 잡초와 가로수 가지 때문에 인도를 이용하지 못하고 차도를 이용하는 실정입니다 공장지대라 대형 화물차들이 자주 다니는 곳이기에 오고 가는 근로자들이 위험하여 시급히 인도블록 정비가 필요하여 이렇게 요청드립니다,건설도시국 건설과
굳이 국가산단 길 주차장소 교통장애 국지 국가 산단 길 길 교차로 부근 인도 통행로 주차와 길 교차로에서 서쪽 방향으로 통행 시 맞은편에 자동차와 중앙선을 침범하며 통행하므로 편도 차선 주차금지 요망합니다 대부분 엘앤에프 회사의 자동차로 주차장이 있음에도 불구하고 불법주차로 교통장애를 발생합니다,경제환경국 교통과
달성군 논공읍 북리 남리 달성 차 산업단지 공공도서관 설립 요청드립니다 달성군에서 소외되어 있지만 인구가 상당히 많은 논공읍 북리 남리에 공공도서관 설립 요청드립니다 지역에 사는 젊은 학생들이 상상 이상으로 많이 거주하고 있습니다 자라나는 아이들이 이용할 수 있는 도서관이 하나쯤 있었으면 합니다 지역에 공단에서도 많은 도움을 줄 수 있을 것입니다 좋은 취지로 도서관을 설립해 주세 용북리 쪽에 공터도 많이 있고 자라나는 아이들이 꿈을 꾸며 한 단계 성장할 수 있는데 도움을 주십시오요 청 드립니다,교육복지국 교육정책과
투명 유리 벽 수리 굳이에 삽니다 제가 주로 이용하는 버스정류장이 국가산단이 다음 역입니다 그곳을 보면 서한아파트부터 디에트르 아파트까지 투명한 벽이 설치되어 있는데 그곳에 새들이 부딪쳐서 죽는 사고가 아주 빈번히 일어납니다 제가 보는 일부 구간에서만 해도 일주일에 한 번은 죽은 새들을 보는 것 같습니다 투명 벽에 스티커나 변화를 주어 새들이 부딪쳐 죽는 일이 없으면 합니다,건설도시국 건설과
다사 금호 어울림 전기차 충전기 사용 못 하게 합니다 이번에 다사 금호어울림 입주한 입주민입니다 저는 전기차를 운용 중에 있으며 필히 전기차를 충전해야 하는 상황입니다 충전하려고 보니 충전기 회사가 코스텔이라는 회사더라고 요코 스텔 회사는 충전요금을 입주민 카드로 요금은 아파트 관리비로 나가는 방식입니다 그래서 관리소장한테 차를 충전해야 하니 카드를 만들어 달라 했더니 아직 충전기를 가동할 수 없다고 합니다 입주민 과반수가 들어와야 가동을 시킬 수 있다고 하네요 근처에 공용 충전시설도 없습니다 그럼 전기차 타는 사람들은 어디서 충전해야 되나요 충전기 사용할 수 있게 부탁드립니다 제발요,경제환경국 환경과
버스 승강장 원상복구 요청 다사역 번 출구 버스 승강장 원상복구 요청 금호어울림 아파트 공사로 폐지된 승강장을 원래대로 설치 요망 승강장 표지판도 이리저리 내 핑개처 있어요,경제환경국 교통과
대형 트럭이 오가는 도로뿐이라 한울 안중 학교 아이들과 동네 어른들이 오가는 길이 위험해요 한울 안중 학교 학생 학부모입니다 아침엔 등교 스쿨버스가 있지만 하교 때는 방과 후등의 이유로 아이들 하교 시간이 제각각이라 스쿨버스가 없어요 아이들이 집으로 가기 위해 시내버스를 타러 큰길까지 이동을 해야 하는데 이 길이 몹시 위험해요 아이들은 하교 후 좁은 차선 도로를 걸어 다니고 요 오가는 자동차가 속도를 줄여 피해 가긴 해요 저녁 방과 후까지 마치고 시에 집으로 가게 되는 지금은 낡이 밝아 아이들이 보이지만 가을이 되면 해가 빨리 저물어서 위험해요 아이들이 인도가 없는 차도를 걸어 큰길로 나가서 시내버스 틀 탈 수밖에 없는 환경이에요 현풍 계동 길 내 있는 업체 특성상 공장이 많아 대형 트럭이 자주 오가는 길인데 용흥리 주변으로 인도가 없어요 그래서 더더욱 위험해요 용흥리 가드레일을 보면 산책로를 만들려고 했었는지 정비를 하다 만 길이 있어요 용흥리 가드레일 안쪽 테두리 부분으로 풀이 정비되어 있어 동네 어른이 가끔 걸어 다니시던데 무척 위험해 보여요 살짝 잘 못 디디면 용흥리 못 안으로 굴러떨어질 수 있거든요 용흥리 못을 따라 가드레일 옆으로 산책길을 만들려던 계획이면 빠르게 만들어 주세요 실번 차를 밀어 가며 도로 귀퉁이를 걸어서 동네 어른들이 아침에 모이는 장소로 가시는 모습이 불안해 보여요 현풍곽 씨 집이 정려각 앞 벤치에 아침이면 삼삼오오 어르신들이 모여 계시는데 동네 분 들 아침 마실 가는 길이 불편하지 않게 되길 바라고 아이들이 학교를 마치고 시내버스 타러 가는 길목이 안전해지면 기쁘겠어요 빠른 조처를 취해 주시면 감사하겠습니다,건설도시국 건설과
가로등 전등 조치 요망 현풍읍 국가산단 북로 길 집 앞 가로등이 며칠째 켜지지 않아 주변이 어두워 불편한 상황입니다 빠른 조치 부탁드립니다 또한 아진 제지로 들어오는 입구부터 신기리 마을까지 진입로 간 전등이 다른 전등보다 약한 편인 데다 전등 주변의 나무들을 전정을 하지 않아 나뭇가지에 전등이 가려 져 전등 효과가 개인적으로는 미흡하다고 생각됩니다 가로등의 전등 밝기가 정상적이라면 전등 주변의 나무 전정을 통해서라도 마을길로 진입하는 중의 도로 상황이 환하게 비춰지으면 좋겠다는 생각입니다 담당자께서는 한번 확인하시고 조치해 주시면 감사하겠습니다,건설도시국 도시계획과
인도 경계석 개선 요구 안녕하세요 유가 읍 비슬 인도 경계석 개선 요청합니다 대상 비슬 사거리 테크노폴리스 단지 아파트에서 남해와 네트 차 방면 인도 경계석이 유 사람이 건널 수 있는 횡단보도 옆 자전거 횡단보도가 설치되어 있으며 도로교통법 제조의 자전거 횡단도의 설치 등 항에 따라 자전거 횡단보도는 녹색 신호등일 때 자전거를 타고 횡단을 해도 됩니다 그런데 위 개선 요구 장소에는 인도 경계석이 자전거 횡단도를 막고 있어 자전거를 타고 지나갈 수 없으며 좌측 보행자 횡단보도를 타고 가면 법 위반사항이 발생하고 우측으로 지나가면 우회전하는 차량이 정지선을 넘어 가로등 앞에 정지하기 때문에 접촉사고라도 나면 이 또한 도로교통법의 보호를 받을 수 없게 됨,건설도시국 건설과
지은 천천 야외 농구장 업그레이드 이드 요청 림이 그물 조명 펜스 동일고충민원여부동일고충민원여부 선행 민원번호 선행 민원 상세조회,읍/면/동사무소
서재리 농지 구역 북측 농로 방범등 설치 요망 민원에 대한 결과가 궁금합니다 동일고충민원여부동일고충민원여부 선행 민원번호 선행 민원 상세조회,건설도시국 도시계획과
의약품 안녕하십니까 토요일날일 옥포 벚꽃 축제 구경 가 보니 사람들이 많이 있어 보기도 좋고 오래간만에 꽃도 많이 보니 힐링이 대더군요 있는 건 다 있는데 축제장에 의약품 판매하는 곳은 없어 아 싶더군요 만약에 급하게 다치거나 아플 때 해열제 구하기가 아주 힘듭니다 만약에 누군 군가 다치면 응급조치를 할 수 있고 이 특히 현풍 한 정 여기도 가 보니까 없습니다 신경 좀 써 주세요,읍/면/동사무소
달성군 금파리 비슬로 길 쓰레기 무단투기 안녕하세요 대구 달성군청 민원과로 연락 넣은 이유는 다름이 아니고 비슬로 길 옆 둑길 무단 쓰레기 투기가 날이 갈수록 심해져서 미관상 안전상의 문제가 우려되어 민원을 넣습니다 비슬로 길 둑길의 쓰레기 무단투기는 예전부터 줄곧 있었던 일입니다 시골길이고 동네 어르신들이나 지나가는 트럭 인부들의 무단 투기로 페트병 하나 음식물 쓰레기 조금 정도에 지나지 않아 동네 분 들이 치우시거나 봄이 오는 겨울 즈음 환경과 에어 벌초 작업을 해 줄 때 청소과에서 치워 주시거나 하셨어요 그런데 이번 해에는 벌초 작업도 없었고 년 전 즈음에 군청에서 둑길을 차 와 자전거가 다니기 좋게 포장을 해 주시고 난 후 지나가는 통행 차량과 사람이 많아지니 쓰레기 무단 투기가 기승을 부리고 있습니다 작게는 담배꽁초와 먹다 남은 페트병부터 크게는 소주 병과 비닐에 담긴 음식물 쓰레기 김장 쓰레기 등 보는 이의 눈살을 찌푸리게 만드는 수준으로 커졌습니다 오늘도 둑 길 산책 중에 발견한 쓰레기는 종이 박스에 고기와 술을 취식 후부턴 가스와 소주 통 쌈장 통 등 당연히 가지고 돌아가야 할 쓰레기를 보란 듯 길가에 버리고 갔습니다 강을 지나 건너 길 비슬로 길의 벚꽃이 만발하여 둑길을 이용하는 시민들이 많아지는데 제대로 된 쓰레기통 하나 없이 무단 투기만 늘어 가고 있어서 이렇게 민원과에 신고를 넣습니다 버리는 사람 치우는 사람 따로 없이 시민 의식이 높아질 수 있는 환경을 만들어 주시면 감사하겠습니다,읍/면/동사무소
다사 죽곡협성휴포레 정문 앞 배수지 산책로 계단 설치 요청 안녕하십니까 죽곡 협성휴포레 정문 앞쪽 배수지 주변을 인근 주민 산책로나 등산로로 많이 이용하고 있습니다 배수지까지 올라가는 길이 비 온 후에는 진흙이고 맑은 날에는 미끄러워서 어르신들이나 아이들이 내려올 때 가끔 미끄러지시기도 합니다 법적으로 문제가 없으시면 간단한 목계단이라도 만들어 주시면 감사하겠습니다,문화관광국 공원녹지과
논공읍 노이리 에덴동산 요양원의 산림훼손 답변의 보충 질의서 군 청사의 업무에 항상 된 발전을 기원합니다 논공읍 노이리 에텐 동산요양원의 산에서 대지로 전환된 부분은 준공처리되여 진입로 기준으로 사용허가된 것은 인지합니다 그러나 산 거지는 자연녹지의 상태로 유지된 부분인데 담당자의 답변 내용에 따른 산지전용허가로 산림을 헤손한 것이 정당한 것이라면 산지전용 허가된 서류를 첨부하여 공개하시고 산의 병원 부지 조성에 따른 개발행위로 진입로 포장 및 옹벽 구조물이 설치된 것이라면 건축허가서 및 그에 따른 개발행위 허가 서류를 첨부하여 민원인의 요청사항을 해소시 켜야 담당자의 신뢰 있는 답변이 된다고 생각합니다 군수님의 군민이 빛나는 달성이 에덴동산 사회복지 재단의 단체로 해서 개인의 민원이 뭍 여지지 않았으면 합니다 담당자님의 성실한 업무 능력을 바람 합니다,자치행정국 종합민원과
금 계산 아래 작은 계곡에 토지가 유실되고 계곡 쪽으로 내려가기 힘듭니다 지역 발전을 위해 노고가 많으십니다 다름이 아니라 연도에 조그마한 계곡에 사방댐 조성 공사를 하면서 계곡에 있는 크고 작은 바위들을 다 치워 버려서 비가 오면 계곡물이 빠른 속도로 내려가 계곡이 참 위험합니다 자 모양으로 계곡의 물이 만나는 지점에는 많은 물이 만나서 흙이 씻겨 내려가 토지가 계속 유실되고 있으니 대책을 마련해 주십시오 공사 전에는 계곡 아래로 내려가려면 위치에 상관없이 여기저기에서 계곡으로 내려갈 수 있었는데 지금은 단 한 곳 밖에 내려가지 못하도록 되어 있고 그나마 경사가 심해서 내려가다가 여러 번 뒹굴고 넘어져서 다친 적이 있고 건너편 쪽 밭에 가려는 분 들도 그 계곡을 지나야 하니 위험하기도 하고 매우 불편합니다 당시 공사할 때 일하시는 책임자께 경사가 심하다고 이야기했으나 나중에 다리를 놓으면 좋겠다고 해서 지금껏 있었습니다 그러니 지금처럼 계곡에 급경사가 아닌 내려가는 계단이나 다리 농기계가 다닐 수 있는 길을 만들어 주십시오 모 쪼록 현장 답사하셔서 조치를 취해 주셨으면 감사하겠습니다 장소는 논공읍 노이리 산 일대,문화관광국 공원녹지과
달성군은 불법 노점상 단속을 일부로 안 하나요 화원 장날만 되면 명촌교 중심으로 화원교회부터 미래비까지 인도니 도로니 할 거 없이 불법 노점들 열리는데 이게 무슨 전통이라고 단속을 안 하는 건가요 보행자 불편하고 차 막히고 그리고 애초에 길거리 노점 자체가 불법 아닌가요 먹거리를 판매하면 식품위생법에도 걸리는 걸로 알고 있는 건데 군청에서 모를 리는 없고 도대체 불법 노점 단속을 안 하는 이유가 뭔 뭔가요 할 의지가 없는 건지 못하는 건지 명확하게 답변해 주세요 계속 이렇게 미온적 대처로 불편함을 야기한다면 민원뿐만 아니라 각종 신고 가능한 거 있는 거 찾아서라도 근절에 앞장서겠습니다 뭐 형식적인 유관부서에서 단속하고 있습니다 이런 말만 할 거면 단속했는 자료라도 주세요 아니면 장날마다 부서에 항의합니다,건설도시국 도시계획과
매곡리 무장애 나눔 길 에어건 설치 요청 건 수고 많으십니다 매곡리 무장애 나 눔 길세 에어건 설치를 요청드립니다 산책 시 흙 이물질이 묻기에 청결 관리 및 주민 복지 차원에서 설치가 필요할 것으로 보입니다,문화관광국 공원녹지과
옥포 일대 심한 악취가 한 달 넘게 지속되고 있는 이유가 궁금합니다 옥포읍 강림리에 거주 중인 군민입니다 이곳으로 이사 온 지가 년 조금 넘었는데 올해 월부터 일대에 심한 악취로 인해 두통과 수면 장애가 생길 정도로 생활에 불편을 겪고 있습니다 원인이 무엇인지 궁금합니다,경제환경국 환경과
논공읍 하리 일대 도로 옹벽공사로 개인 피해 안녕하세요 논공읍 하리 번지 토지 소유자입니다 토지 앞 도로에 옹벽을 설치한다고 하여 너무 놀란 나머지 금일 현장을 방문하여 확인했습니다 당초에 옹벽을 쌓는다는 얘기도 없었고 옹벽을 도로에 설치하면 땅이 맹지가 되고 옹벽 앞에 있는 대지를 물에 잠겨서 침수 시키겠다는 의도이신가요 산에 옹벽 또는 토사 방지턱을 만들거나 도로에 배수구를 원활하게 만들어야 하는 거 아닌가요 옹벽 설치를 절대 반대합니다 옹벽 설치 후 주변 토지 침수로 인한 인명 및 개인 재산 피해가 불 보듯 합니다 관계자 공무원분 들게 다시 한번 절대 반대함을 말씀드립니다,건설도시국 건설과
공동주택 아파트의 외벽 공사 건에 대해서 오래되어서 새시 교체 작업을 하려고 하는데 에어컨 실외기를 아파트 외벽에 구멍을 뚫으려 하니 관리사무소에서 공동주택법 위반이라고 못 뚫게 하는데 과연 맞는 가요만 일 뚫게 되면 원상복구에 공동주택법 위반이라고 벌금까지 물어야 된다는데 이런 경우 어떻게 되는지요,건설도시국 건축과
논공읍 노이리 에덴동산 요양원의 농으로 길 차단 군의 발전을 기원합니다 선대로부터 저희는 거의 밭 농들 해 온 터인데 이웃한 에덴동산 요양원이 들어섰지만 리 길부터 농로로 사용해 온 터라 요양원 길을 이용하여 사용하던 중 연도쯤 갑자기 저희 밭 진입로 길을 컨테이너 및 현수막 시설 등 설치하여 진입로를 사용할 수 없게 되였습니다 사진 참조 구호 먼 길을 둘러 노옹 저수지 둑길을 유일하게 사용하여 현재까지 이용하던 중 작년에 요양원 관계자 측이 밭 입구 쪽을 측량 실시하여 둑길에서 저희 밭 진입로 가량 중 가량은 자신들의 소위 남은 가량은 유지로 지목된 사항 사진 임야 입구 쪽을 올해 들어 일전에 포클레인으로 진입부에 구덩이를 파고 식재를 한 후 펜스 대문을 설치하고선 선 저희 들의 밭 농로 길을 차단시킨 상태로 만들었습니다 저희는 선대부터 밭 농들 해 왔고 농경 채도 등록시켜 사용하는 농터인데 유일한 농로 길을 이토록 막아 세워 힘겹게 하는지 알 수가 없어 답답할 따름입니다 이제까지 잘 사용하던 농로 길을 위성사진으로 판독해도 뚜럿하게 사용한 흔적이 있던 길을 요양원을 운영하시는 분 들이 어떤 마음으로 이렇게 하시는지요 군 담당자분은 현장 검토를 하셔서 최소한의 농로 길을 열어 주시길 부탁드립니다 군민을 불편을 잘 해 아려 주셨으면 합니다,건설도시국 도시계획과
천 내촌에서 자전거 세척하는 사람이 많아요 군에 발전을 위해 힘써 주셔서 감사해요 다름이 아니라 날이 따뜻해지고 천내 천애 사람도 많아지고 자전거 타는 사람이 많아지고 있어요 그런데 간혹 천 내촌에서 자전거를 세척하는 사람들이 부쩍이나 늘었네요 저물을 정수하고 흘려보내는데 도 세금이 들어가는데 자기 개인적인 이유로 세척하는 건 바람직하지 않다고 봅니다천내천에 주차단속처럼 음성 기능이 있는 설치나 단속이 필요해 보입니다 감사합니다,경제환경국 환경과
대실역 이 편 한 세 상대 실산 거름 냄새 때문에 고통받고 있습니다 대실역 이 편 한세상 입주할 때부터 살고 있는 주민입니다 정문 위 쪽 농사짓는 부분 때문에 년 전부터 민원도 넣고 전화도 했지만 주민들의 민원은 묵살당했고 산 밭주인한테 벌금 부과되는 부분 안내는 받았지만 후 조치 부분도 확인해 준다 말만 하고 확답도 못 받았습니다 환경과 직원은 아실 거예요 주민들 일체 달성군청에 민원 넣는 자체가 너무 스트레스였기에 포기하며 지냈습니다 담당 직원은 꼭 현장 방문해 주세요 맨날 나갔다 말로만 하지 마시고 며칠 전부터 베란다 창문을 열 수가 없습니다 똥거름 냄새로 빨래도 베란다에 못 널어요 저녁에 산책하러 나가도 똥거름 냄새지 환기시킬 려 문 열어도 똥거름 냄새 몇몇 농사짓는 사람들 때문에 주위 살고 있는 주민들이 너무 고통받고 있습니다 냄새 안 날 수 있도록 조치를 취해 주시고 농사짓는 주인만 나서 냄새나는 부분 처리해 주세요 제발입니다 오전 전 낮 시간보다 저녁에 똥거름 냄새가 제일 심하니 꼭 저녁시간에 현장 와서 냄새 부분 확인해 주세요 사진이 올라가지 않는데 대실역이 편한 세상 산 밑 정문 바로 위쪽 태성 아파트 산쪽 부분으로 길이 나 있습니다 태성 아파트 산 쪽도 농사짓는 부분 냄새같이 확인해 주세요,경제환경국 환경과
죽곡 푸르지오 단지 아파트 관리실의 폐기물 수수료 적용이 여전히 문제 있습니다 동일고충민원여부동일고충민원여부 선행 민원번호 선행 민원 상세조회,경제환경국 청소위생과
유곡리 번지 소하천 정비요청 유곡리 소하천 주변 유곡리 경작 중인 농업인입니다 년 태풍 당시 소하천으로 많은 토사물과 정리되지 않은 나뭇가지 등이 쓸려 내려와 불안함을 조성하였습니다 또한 하천 주변으로 깎아내리는 절벽으로부터 나무뿌리가 드러나 있고 흙이 깎여 내리는 등 언제 무너질지 몰라 불안한 상태입니다 유곡리 동네로 이어지는 소하천 하류 쪽은 이러한 토사물로 물길이 막히는 등의 문제도 있는 것으로 알고 있습니다 빠른 시일 내에 소하천 정비가 되어 이러한 불안감을 해소시켜 주시길 바랍니다 주변 농로도 너무 노후화되어 언제 무너질지 몰라 불안한 상태입니다 실사를 나와 주시어 한번 검토해 주시고 해결 방법을 찾아 주시길 바랍니다,건설도시국 안전총괄과
